AccountName,LastName,FirstName,Email,Contact_ExternalId__c,Date,EventTimeStamp,Event,Logins,UniqueLogins,PageLoadTime,FileSize,Price,ContactName
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-5,-5,PDF Exported,1,1,18,138,58,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-12,-12,360 Page,15,2,3,247,61,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-13,-13,Rule Run,24,0,10,288,46,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-6,-6,Rule Schedule Run,36,1,1,9,13,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-3,-3,OutReach Schedule Triggered,26,2,26,120,32,Ranjith Kumar  Abberley  Gurram
IBM Corp Data Systems Div,IBM  Ravela,Renetha,ibmravela@gainsighttest.com,0031a000002kj08AAA,-8,-8,File Uploaded,31,1,2,242,45,Renetha  IBM  Ravela
IBM Corp Data Systems Div,IBM  Dugar,Sandeep,ibmdugar@gainsighttest.com,0031a000002kj09AAA,0,0,File Downloaded,21,3,0,297,95,Sandeep  IBM  Dugar
IBM Corp Data Systems Div,IBM  Dontharaju,Sandy,ibmdontharaju@gainsighttest.com,0031a000002kj0AAAQ,-13,-13,CTA Created,19,4,22,59,44,Sandy  IBM  Dontharaju
IBM Corp Data Systems Div,IBM  Thounajam,Santa,ibmthounajam@gainsighttest.com,0031a000002kj0BAAQ,-6,-6,CTA Updated,25,0,15,237,35,Santa  IBM  Thounajam
IBM Corp Data Systems Div,IBM  Chikoti,Santosh,ibmchikoti@gainsighttest.com,0031a000002kj0CAAQ,-7,-7,Survey Created,48,1,21,183,72,Santosh  IBM  Chikoti
IBM Corp Data Systems Div,IBM  Gutha,Siddhartha,ibmgutha@gainsighttest.com,0031a000002kj0DAAQ,-11,-11,Survey Triggered,7,1,3,17,54,Siddhartha  IBM  Gutha
IBM Corp Data Systems Div,IBM  Nasika,Siva Prasad,ibmnasika@gainsighttest.com,0031a000002kj0EAAQ,-8,-8,Survey Schedule Triggered,42,5,1,294,95,Siva Prasad  IBM  Nasika
IBM Corp Data Systems Div,IBM  Jha,Sneha,ibmjha@gainsighttest.com,0031a000002kj0FAAQ,-8,-8,Success Snapshot Exported,41,2,16,135,26,Sneha  IBM  Jha
IBM Corp Data Systems Div,IBM  Rallapalli,Sri Vidya,ibmrallapalli@gainsighttest.com,0031a000002kj0GAAQ,-8,-8,CTA Created,31,1,24,174,52,Sri Vidya  IBM  Rallapalli
IBM Corp Data Systems Div,IBM  Pulagam,Srinivas,ibmpulagam@gainsighttest.com,0031a000002kj0HAAQ,-11,-11,CTA Updated,45,0,11,38,32,Srinivas  IBM  Pulagam
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,0,0,Report Run,44,0,3,141,9,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-2,-2,Report Created,43,5,19,129,54,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,-11,-11,SmartList Created,41,0,2,82,5,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,-13,-13,EmailTemplate Created,22,3,25,24,24,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-6,-6,Outreach Created,29,5,27,63,1,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-11,-11,Outreach Triggered,40,1,25,146,37,Prashanthi  Abberley  Mendu
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-1,-1,PDF Exported,20,5,9,115,13,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-4,-4,360 Page,12,0,0,0,34,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-10,-10,Rule Run,11,0,8,142,36,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-2,-2,Rule Schedule Run,26,3,0,127,63,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-4,-4,OutReach Schedule Triggered,38,2,0,171,85,Ranjith Kumar  Abberley  Gurram
IBM Corp Data Systems Div,IBM  Ravela,Renetha,ibmravela@gainsighttest.com,0031a000002kj08AAA,-11,-11,File Uploaded,27,0,2,229,61,Renetha  IBM  Ravela
IBM Corp Data Systems Div,IBM  Dugar,Sandeep,ibmdugar@gainsighttest.com,0031a000002kj09AAA,-12,-12,File Downloaded,9,4,8,92,5,Sandeep  IBM  Dugar
IBM Corp Data Systems Div,IBM  Dontharaju,Sandy,ibmdontharaju@gainsighttest.com,0031a000002kj0AAAQ,-9,-9,CTA Created,9,3,23,31,96,Sandy  IBM  Dontharaju
IBM Corp Data Systems Div,IBM  Thounajam,Santa,ibmthounajam@gainsighttest.com,0031a000002kj0BAAQ,-6,-6,CTA Updated,39,3,7,188,62,Santa  IBM  Thounajam
IBM Corp Data Systems Div,IBM  Chikoti,Santosh,ibmchikoti@gainsighttest.com,0031a000002kj0CAAQ,-13,-13,Survey Created,32,1,13,287,13,Santosh  IBM  Chikoti
IBM Corp Data Systems Div,IBM  Gutha,Siddhartha,ibmgutha@gainsighttest.com,0031a000002kj0DAAQ,-9,-9,Survey Triggered,7,5,2,136,71,Siddhartha  IBM  Gutha
IBM Corp Data Systems Div,IBM  Nasika,Siva Prasad,ibmnasika@gainsighttest.com,0031a000002kj0EAAQ,-11,-11,Survey Schedule Triggered,33,4,16,203,77,Siva Prasad  IBM  Nasika
IBM Corp Data Systems Div,IBM  Jha,Sneha,ibmjha@gainsighttest.com,0031a000002kj0FAAQ,-9,-9,Success Snapshot Exported,22,1,25,70,53,Sneha  IBM  Jha
IBM Corp Data Systems Div,IBM  Rallapalli,Sri Vidya,ibmrallapalli@gainsighttest.com,0031a000002kj0GAAQ,-3,-3,CTA Created,15,3,26,198,95,Sri Vidya  IBM  Rallapalli
IBM Corp Data Systems Div,IBM  Pulagam,Srinivas,ibmpulagam@gainsighttest.com,0031a000002kj0HAAQ,-1,-1,CTA Updated,37,0,28,247,3,Srinivas  IBM  Pulagam
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,-3,-3,Report Run,4,2,0,226,100,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-10,-10,Report Created,46,1,18,113,61,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,-2,-2,SmartList Created,20,3,10,64,74,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,-2,-2,EmailTemplate Created,17,1,1,293,59,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-6,-6,Outreach Created,24,5,25,82,9,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-10,-10,Outreach Triggered,30,1,20,24,13,Prashanthi  Abberley  Mendu
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-11,-11,PDF Exported,3,5,23,86,100,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-3,-3,360 Page,45,5,25,137,63,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-11,-11,Rule Run,21,0,15,22,94,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-11,-11,Rule Schedule Run,12,4,13,110,93,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-14,-14,OutReach Schedule Triggered,4,4,17,140,13,Ranjith Kumar  Abberley  Gurram
IBM Corp Data Systems Div,IBM  Ravela,Renetha,ibmravela@gainsighttest.com,0031a000002kj08AAA,-2,-2,File Uploaded,19,5,22,189,46,Renetha  IBM  Ravela
IBM Corp Data Systems Div,IBM  Dugar,Sandeep,ibmdugar@gainsighttest.com,0031a000002kj09AAA,-4,-4,File Downloaded,7,5,3,72,38,Sandeep  IBM  Dugar
IBM Corp Data Systems Div,IBM  Dontharaju,Sandy,ibmdontharaju@gainsighttest.com,0031a000002kj0AAAQ,-3,-3,CTA Created,5,1,22,64,15,Sandy  IBM  Dontharaju
IBM Corp Data Systems Div,IBM  Thounajam,Santa,ibmthounajam@gainsighttest.com,0031a000002kj0BAAQ,-11,-11,CTA Updated,34,0,22,36,32,Santa  IBM  Thounajam
IBM Corp Data Systems Div,IBM  Chikoti,Santosh,ibmchikoti@gainsighttest.com,0031a000002kj0CAAQ,0,0,Survey Created,20,2,30,211,42,Santosh  IBM  Chikoti
IBM Corp Data Systems Div,IBM  Gutha,Siddhartha,ibmgutha@gainsighttest.com,0031a000002kj0DAAQ,-12,-12,Survey Triggered,4,1,20,233,54,Siddhartha  IBM  Gutha
IBM Corp Data Systems Div,IBM  Nasika,Siva Prasad,ibmnasika@gainsighttest.com,0031a000002kj0EAAQ,-12,-12,Survey Schedule Triggered,4,5,20,53,74,Siva Prasad  IBM  Nasika
IBM Corp Data Systems Div,IBM  Jha,Sneha,ibmjha@gainsighttest.com,0031a000002kj0FAAQ,-5,-5,Success Snapshot Exported,31,5,22,14,64,Sneha  IBM  Jha
IBM Corp Data Systems Div,IBM  Rallapalli,Sri Vidya,ibmrallapalli@gainsighttest.com,0031a000002kj0GAAQ,-7,-7,CTA Created,43,4,23,30,86,Sri Vidya  IBM  Rallapalli
IBM Corp Data Systems Div,IBM  Pulagam,Srinivas,ibmpulagam@gainsighttest.com,0031a000002kj0HAAQ,-1,-1,CTA Updated,24,3,2,91,12,Srinivas  IBM  Pulagam
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,-1,-1,Report Run,34,3,26,99,85,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-6,-6,Report Created,40,2,28,186,49,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,-4,-4,SmartList Created,41,0,17,65,16,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,-2,-2,EmailTemplate Created,35,0,17,43,7,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-5,-5,Outreach Created,29,3,21,256,76,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-4,-4,Outreach Triggered,50,4,30,51,86,Prashanthi  Abberley  Mendu
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-7,-7,PDF Exported,20,5,15,140,7,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-6,-6,360 Page,7,4,2,5,98,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-12,-12,Rule Run,39,2,29,223,43,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-1,-1,Rule Schedule Run,32,0,15,282,60,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-14,-14,OutReach Schedule Triggered,42,0,4,269,29,Ranjith Kumar  Abberley  Gurram
IBM Corp Data Systems Div,IBM  Ravela,Renetha,ibmravela@gainsighttest.com,0031a000002kj08AAA,-14,-14,File Uploaded,49,0,25,267,94,Renetha  IBM  Ravela
IBM Corp Data Systems Div,IBM  Dugar,Sandeep,ibmdugar@gainsighttest.com,0031a000002kj09AAA,-1,-1,File Downloaded,12,0,15,217,46,Sandeep  IBM  Dugar
IBM Corp Data Systems Div,IBM  Dontharaju,Sandy,ibmdontharaju@gainsighttest.com,0031a000002kj0AAAQ,-1,-1,CTA Created,8,3,14,261,18,Sandy  IBM  Dontharaju
IBM Corp Data Systems Div,IBM  Thounajam,Santa,ibmthounajam@gainsighttest.com,0031a000002kj0BAAQ,-10,-10,CTA Updated,41,2,23,10,84,Santa  IBM  Thounajam
IBM Corp Data Systems Div,IBM  Chikoti,Santosh,ibmchikoti@gainsighttest.com,0031a000002kj0CAAQ,-11,-11,Survey Created,32,5,5,121,88,Santosh  IBM  Chikoti
IBM Corp Data Systems Div,IBM  Gutha,Siddhartha,ibmgutha@gainsighttest.com,0031a000002kj0DAAQ,-12,-12,Survey Triggered,34,2,13,1,94,Siddhartha  IBM  Gutha
IBM Corp Data Systems Div,IBM  Nasika,Siva Prasad,ibmnasika@gainsighttest.com,0031a000002kj0EAAQ,-6,-6,Survey Schedule Triggered,31,3,24,120,69,Siva Prasad  IBM  Nasika
IBM Corp Data Systems Div,IBM  Jha,Sneha,ibmjha@gainsighttest.com,0031a000002kj0FAAQ,-2,-2,Success Snapshot Exported,0,3,26,98,4,Sneha  IBM  Jha
IBM Corp Data Systems Div,IBM  Rallapalli,Sri Vidya,ibmrallapalli@gainsighttest.com,0031a000002kj0GAAQ,-5,-5,CTA Created,11,5,11,214,39,Sri Vidya  IBM  Rallapalli
IBM Corp Data Systems Div,IBM  Pulagam,Srinivas,ibmpulagam@gainsighttest.com,0031a000002kj0HAAQ,-2,-2,CTA Updated,7,1,25,270,31,Srinivas  IBM  Pulagam
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,-9,-9,Report Run,48,0,0,126,99,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-11,-11,Report Created,27,2,2,274,60,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,-10,-10,SmartList Created,5,3,8,183,19,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,0,0,EmailTemplate Created,17,0,27,287,35,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-9,-9,Outreach Created,44,5,26,58,37,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-5,-5,Outreach Triggered,37,3,12,181,75,Prashanthi  Abberley  Mendu
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-10,-10,PDF Exported,33,0,23,192,86,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-13,-13,360 Page,25,1,4,166,29,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-1,-1,Rule Run,4,5,0,206,30,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-12,-12,Rule Schedule Run,20,1,26,40,71,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-7,-7,OutReach Schedule Triggered,4,0,17,145,2,Ranjith Kumar  Abberley  Gurram
IBM Corp Data Systems Div,IBM  Ravela,Renetha,ibmravela@gainsighttest.com,0031a000002kj08AAA,-9,-9,File Uploaded,8,2,23,102,34,Renetha  IBM  Ravela
IBM Corp Data Systems Div,IBM  Dugar,Sandeep,ibmdugar@gainsighttest.com,0031a000002kj09AAA,-2,-2,File Downloaded,41,1,20,173,39,Sandeep  IBM  Dugar
IBM Corp Data Systems Div,IBM  Dontharaju,Sandy,ibmdontharaju@gainsighttest.com,0031a000002kj0AAAQ,-9,-9,CTA Created,6,5,6,148,18,Sandy  IBM  Dontharaju
IBM Corp Data Systems Div,IBM  Thounajam,Santa,ibmthounajam@gainsighttest.com,0031a000002kj0BAAQ,-1,-1,CTA Updated,11,0,12,176,28,Santa  IBM  Thounajam
IBM Corp Data Systems Div,IBM  Chikoti,Santosh,ibmchikoti@gainsighttest.com,0031a000002kj0CAAQ,-6,-6,Survey Created,49,2,28,169,78,Santosh  IBM  Chikoti
IBM Corp Data Systems Div,IBM  Gutha,Siddhartha,ibmgutha@gainsighttest.com,0031a000002kj0DAAQ,-11,-11,Survey Triggered,25,4,28,263,24,Siddhartha  IBM  Gutha
IBM Corp Data Systems Div,IBM  Nasika,Siva Prasad,ibmnasika@gainsighttest.com,0031a000002kj0EAAQ,-10,-10,Survey Schedule Triggered,22,4,13,154,31,Siva Prasad  IBM  Nasika
IBM Corp Data Systems Div,IBM  Jha,Sneha,ibmjha@gainsighttest.com,0031a000002kj0FAAQ,-9,-9,Success Snapshot Exported,13,0,16,297,72,Sneha  IBM  Jha
IBM Corp Data Systems Div,IBM  Rallapalli,Sri Vidya,ibmrallapalli@gainsighttest.com,0031a000002kj0GAAQ,-6,-6,CTA Created,0,3,5,98,68,Sri Vidya  IBM  Rallapalli
IBM Corp Data Systems Div,IBM  Pulagam,Srinivas,ibmpulagam@gainsighttest.com,0031a000002kj0HAAQ,-4,-4,CTA Updated,36,5,8,83,24,Srinivas  IBM  Pulagam
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,-14,-14,Report Run,18,4,3,99,36,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-4,-4,Report Created,47,0,15,147,15,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,-10,-10,SmartList Created,38,2,2,232,83,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,-13,-13,EmailTemplate Created,16,5,8,11,28,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-11,-11,Outreach Created,20,3,19,165,84,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-12,-12,Outreach Triggered,39,2,23,192,5,Prashanthi  Abberley  Mendu
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-13,-13,PDF Exported,11,0,14,242,86,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-6,-6,360 Page,48,1,20,34,48,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-14,-14,Rule Run,0,1,7,210,7,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-13,-13,Rule Schedule Run,45,1,10,289,98,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-7,-7,OutReach Schedule Triggered,23,1,12,201,16,Ranjith Kumar  Abberley  Gurram
