JBCXM__PARTICIPANT__R.SURPART_EXTERNALID__C,JBCXM__ANSWERTEXT__C,JBCXM__ANSWER__R.SURALLOWANS_EXTERNALID__C,JBCXM__QUESTION__R.SURQUES_EXTERNALID__C,JBCXM__RANKTEXT__C,JBCXM__RANK__C,JBCXM__SUBMISSIONTIME__C,JBCXM__SURVEYMASTER__R.SURMASTER_EXTERNALID__C,SURUSERANS_EXTERNALID__C
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Customer Service Desk_ans4,Customer Retention_Ranking11,4,4,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Customer Service Desk_ans4Customer Retention_Ranking11
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12Mobile Marketing_ans4,Customer Retention_MatrixMultipleAnswers12_Checkbox1,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12Mobile Marketing_ans4Customer Retention_MatrixMultipleAnswers12_Checkbox1
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12Marketing Automation_ans3,Customer Retention_MatrixMultipleAnswers12_Checkbox2,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12Marketing Automation_ans3Customer Retention_MatrixMultipleAnswers12_Checkbox2
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_NPS133_ans4,Customer Retention_NPS13,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS133_ans4Customer Retention_NPS13
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",,Customer Retention_NPS13,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS13
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_Checkbox10Sales_ans1,Customer Retention_Checkbox10,,,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_Checkbox10Sales_ans1Customer Retention_Checkbox10
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_Ranking11Sales_ans1,Customer Retention_Ranking11,1,1,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_Ranking11Sales_ans1Customer Retention_Ranking11
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_Ranking11Pre-Sales_ans2,Customer Retention_Ranking11,2,2,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_Ranking11Pre-Sales_ans2Customer Retention_Ranking11
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_Ranking11Services_ans3,Customer Retention_Ranking11,3,3,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_Ranking11Services_ans3Customer Retention_Ranking11
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_Ranking11Customer Service Desk_ans4,Customer Retention_Ranking11,4,4,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_Ranking11Customer Service Desk_ans4Customer Retention_Ranking11
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_MatrixMultipleAnswers12Marketing Automation_ans3,Customer Retention_MatrixMultipleAnswers12_Checkbox1,,,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_MatrixMultipleAnswers12Marketing Automation_ans3Customer Retention_MatrixMultipleAnswers12_Checkbox1
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_MatrixMultipleAnswers12Mobile Marketing_ans4,Customer Retention_MatrixMultipleAnswers12_Checkbox2,,,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_MatrixMultipleAnswers12Mobile Marketing_ans4Customer Retention_MatrixMultipleAnswers12_Checkbox2
BrendaRobelDVM@googly.comICM Corp,,Customer Retention_NPS130_ans1,Customer Retention_NPS13,,,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_NPS130_ans1Customer Retention_NPS13
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio1Weekly Once_ans2,Customer Retention_Radio1,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio1Weekly Once_ans2Customer Retention_Radio1
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2,Customer Retention_MatrixSingleAnswer2_Radio1,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2Customer Retention_MatrixSingleAnswer2_Radio1
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio2,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio2
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio3,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio3
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Delightfully_ans4,Customer Retention_MatrixSingleAnswer2_Radio4,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Delightfully_ans4Customer Retention_MatrixSingleAnswer2_Radio4
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Very Satisfactory_ans3,Customer Retention_MatrixSingleAnswer2_Radio5,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Very Satisfactory_ans3Customer Retention_MatrixSingleAnswer2_Radio5
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2,Customer Retention_MatrixSingleAnswer2_Radio6,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2Customer Retention_MatrixSingleAnswer2_Radio6
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",Customer Retention_Comment3_ans1,Customer Retention_Comment3,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Comment3_ans1Customer Retention_Comment3
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_SingleSelect4Might or might not_ans3,Customer Retention_SingleSelect4,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_SingleSelect4Might or might not_ans3Customer Retention_SingleSelect4
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio6No_ans2,Customer Retention_Radio6,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio6No_ans2Customer Retention_Radio6
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MultiSelect7Handle issues with courtesy and professionalism_ans4,Customer Retention_MultiSelect7,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MultiSelect7Handle issues with courtesy and professionalism_ans4Customer Retention_MultiSelect7
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,This comments are filled for text field.,Customer Retention_Text8_ans1,Customer Retention_Text8,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Text8_ans1Customer Retention_Text8
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,This comments are filled for text field.,Customer Retention_Text9_ans1,Customer Retention_Text9,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Text9_ans1Customer Retention_Text9
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Checkbox10All Services are very good_ans5,Customer Retention_Checkbox10,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Checkbox10All Services are very good_ans5Customer Retention_Checkbox10
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Sales_ans1,Customer Retention_Ranking11,1,1,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Sales_ans1Customer Retention_Ranking11
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Pre-Sales_ans2,Customer Retention_Ranking11,2,2,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Pre-Sales_ans2Customer Retention_Ranking11
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Services_ans3,Customer Retention_Ranking11,3,3,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Services_ans3Customer Retention_Ranking11
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Customer Service Desk_ans4,Customer Retention_Ranking11,4,4,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Customer Service Desk_ans4Customer Retention_Ranking11
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12PlacePunch_ans5,Customer Retention_MatrixMultipleAnswers12_Checkbox1,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12PlacePunch_ans5Customer Retention_MatrixMultipleAnswers12_Checkbox1
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12Mobile Marketing_ans4,Customer Retention_MatrixMultipleAnswers12_Checkbox2,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12Mobile Marketing_ans4Customer Retention_MatrixMultipleAnswers12_Checkbox2
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_NPS133_ans4,Customer Retention_NPS13,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS133_ans4Customer Retention_NPS13
BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",,Customer Retention_NPS13,,,1,Customer Retention,BriceBreitenberg@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS13
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio1Daily_ans1,Customer Retention_Radio1,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio1Daily_ans1Customer Retention_Radio1
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio1,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio1
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Delightfully_ans4,Customer Retention_MatrixSingleAnswer2_Radio2,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Delightfully_ans4Customer Retention_MatrixSingleAnswer2_Radio2
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio3,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio3
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Very Satisfactory_ans3,Customer Retention_MatrixSingleAnswer2_Radio4,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Very Satisfactory_ans3Customer Retention_MatrixSingleAnswer2_Radio4
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio5,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio5
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Delightfully_ans4,Customer Retention_MatrixSingleAnswer2_Radio6,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Delightfully_ans4Customer Retention_MatrixSingleAnswer2_Radio6
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",Customer Retention_Comment3_ans1,Customer Retention_Comment3,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Comment3_ans1Customer Retention_Comment3
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_SingleSelect4Definitely will_ans1,Customer Retention_SingleSelect4,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_SingleSelect4Definitely will_ans1Customer Retention_SingleSelect4
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Checkbox5Weekends_ans2,Customer Retention_Checkbox5,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Checkbox5Weekends_ans2Customer Retention_Checkbox5
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio6Yes_ans1,Customer Retention_Radio6,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio6Yes_ans1Customer Retention_Radio6
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MultiSelect7Handle issues with courtesy and professionalism_ans4,Customer Retention_MultiSelect7,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MultiSelect7Handle issues with courtesy and professionalism_ans4Customer Retention_MultiSelect7
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,This comments are filled for text field.,Customer Retention_Text8_ans1,Customer Retention_Text8,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Text8_ans1Customer Retention_Text8
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,This comments are filled for text field.,Customer Retention_Text9_ans1,Customer Retention_Text9,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Text9_ans1Customer Retention_Text9
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Checkbox10Sales_ans1,Customer Retention_Checkbox10,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Checkbox10Sales_ans1Customer Retention_Checkbox10
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Sales_ans1,Customer Retention_Ranking11,1,1,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Sales_ans1Customer Retention_Ranking11
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Pre-Sales_ans2,Customer Retention_Ranking11,2,2,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Pre-Sales_ans2Customer Retention_Ranking11
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Services_ans3,Customer Retention_Ranking11,3,3,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Services_ans3Customer Retention_Ranking11
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Customer Service Desk_ans4,Customer Retention_Ranking11,4,4,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Customer Service Desk_ans4Customer Retention_Ranking11
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12Email_ans2,Customer Retention_MatrixMultipleAnswers12_Checkbox1,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12Email_ans2Customer Retention_MatrixMultipleAnswers12_Checkbox1
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12Email_ans2,Customer Retention_MatrixMultipleAnswers12_Checkbox2,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12Email_ans2Customer Retention_MatrixMultipleAnswers12_Checkbox2
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_NPS132_ans3,Customer Retention_NPS13,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS132_ans3Customer Retention_NPS13
BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",,Customer Retention_NPS13,,,1,Customer Retention,BraulioHagenesIV@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS13
BobbieMills@googly.comICM Corp,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",,Customer Retention_NPS13,,,1,Customer Retention,BobbieMills@googly.comICM CorpCustomer Retention_NPS13
BobbieMills@googly.comICM Corp,,Customer Retention_Radio1Never_ans5,Customer Retention_Radio1,,,1,Customer Retention,BobbieMills@googly.comICM CorpCustomer Retention_Radio1Never_ans5Customer Retention_Radio1
BrendaRobelDVM@googly.comICM Corp,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",,Customer Retention_NPS13,,,1,Customer Retention,BrendaRobelDVM@googly.comICM CorpCustomer Retention_NPS13
BobbieMills@googly.comICM Corp,,Customer Retention_MatrixSingleAnswer2Delightfully_ans4,Customer Retention_MatrixSingleAnswer2_Radio1,,,1,Customer Retention,BobbieMills@googly.comICM CorpCustomer Retention_MatrixSingleAnswer2Delightfully_ans4Customer Retention_MatrixSingleAnswer2_Radio1
BobbieMills@googly.comICM Corp,,Customer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2,Customer Retention_MatrixSingleAnswer2_Radio2,,,1,Customer Retention,BobbieMills@googly.comICM CorpCustomer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2Customer Retention_MatrixSingleAnswer2_Radio2
BobbieMills@googly.comICM Corp,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio3,,,1,Customer Retention,BobbieMills@googly.comICM CorpCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio3
