JBCXM__ACCOUNT__R.DATA_EXTERNALID__C,JBCXM__ANONYMOUSTEMPUSER__C,JBCXM__CONTACT__R.CONTACT_EXTERNALID__C,JBCXM__DISPLAYNAME__C,JBCXM__EMAILSENTCOUNT__C,JBCXM__EMAILSENTDATE__C,JBCXM__OPENED__C,JBCXM__PROCESSED__C,JBCXM__RESPONSED__C,JBCXM__ROLE__C,JBCXM__SCHEDULED__C,JBCXM__SENTEMAIL__C,JBCXM__SENT__C,JBCXM__SURVEYMASTER__R.SURMASTER_EXTERNALID__C,JBCXM__SURVEYOPENED__C,JBCXM__TESTUSER__C,JBCXM__TOKEN__C,JBCXM__UNDELIVERED__C,SURPART_EXTERNALID__C,JBCXM__ResponseDate__c
Cadbury Beverages Div Cadbury,FALSE,BrookRowe@gainsight.comCadbury Beverages Div Cadbury,BrookRowe,1,,FALSE,FALSE,TRUE,User,FALSE,brookrowe@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j5AAA492592,FALSE,BrookRowe@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BennettWisozk@gainsight.comCadbury Beverages Div Cadbury,BennettWisozk,1,,FALSE,FALSE,TRUE,User,FALSE,bennettwisozk@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j6AAA737725,FALSE,BennettWisozk@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BernitaO'Kon@gainsight.comCadbury Beverages Div Cadbury,BernitaO'Kon,1,,FALSE,FALSE,TRUE,User,FALSE,bernitao'kon@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j7AAA228875,FALSE,BernitaO'Kon@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BlazeBreitenberg@gainsight.comCadbury Beverages Div Cadbury,BlazeBreitenberg,1,,FALSE,FALSE,TRUE,User,FALSE,blazebreitenberg@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j8AAA367381,FALSE,BlazeBreitenberg@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BetsyOkuneva@gainsight.comCadbury Beverages Div Cadbury,BetsyOkuneva,1,,FALSE,FALSE,TRUE,User,FALSE,betsyokuneva@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j9AAA682433,FALSE,BetsyOkuneva@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BettieMcClure@gainsight.comCadbury Beverages Div Cadbury,BettieMcClure,1,,FALSE,FALSE,TRUE,User,FALSE,bettiemcclure@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jAAAQ640742,FALSE,BettieMcClure@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,BraulioHagenesIV,1,,FALSE,FALSE,TRUE,User,FALSE,brauliohagenesiv@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jBAAQ865108,FALSE,BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BrandiMills@gainsight.comCadbury Beverages Div Cadbury,BrandiMills,1,,FALSE,FALSE,TRUE,User,FALSE,brandimills@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jCAAQ252737,FALSE,BrandiMills@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BrycenBeer@gainsight.comCadbury Beverages Div Cadbury,BrycenBeer,1,,FALSE,FALSE,TRUE,User,FALSE,brycenbeer@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jDAAQ343163,FALSE,BrycenBeer@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BlazeNitzsche@gainsight.comCadbury Beverages Div Cadbury,BlazeNitzsche,1,,FALSE,FALSE,TRUE,User,FALSE,blazenitzsche@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jEAAQ431757,FALSE,BlazeNitzsche@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BartholomeHickle@gainsight.comCadbury Beverages Div Cadbury,BartholomeHickle,1,,FALSE,FALSE,TRUE,User,FALSE,bartholomehickle@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jFAAQ660102,FALSE,BartholomeHickle@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BridgetSauer@gainsight.comCadbury Beverages Div Cadbury,BridgetSauer,1,,FALSE,FALSE,TRUE,User,FALSE,bridgetsauer@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jGAAQ219030,FALSE,BridgetSauer@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BreanneHyatt@gainsight.comCadbury Beverages Div Cadbury,BreanneHyatt,1,,FALSE,FALSE,TRUE,User,FALSE,breannehyatt@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5ixAAA928751,FALSE,BreanneHyatt@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BrandonConsidine@gainsight.comCadbury Beverages Div Cadbury,BrandonConsidine,1,,FALSE,FALSE,TRUE,User,FALSE,brandonconsidine@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5iyAAA329079,FALSE,BrandonConsidine@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BrianneRatke@gainsight.comCadbury Beverages Div Cadbury,BrianneRatke,1,,FALSE,FALSE,TRUE,User,FALSE,brianneratke@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jHAAQ245698,FALSE,BrianneRatke@gainsight.comCadbury Beverages Div Cadbury,1
ICM Corp,FALSE,BerthaSipes@googly.comICM Corp,BerthaSipes,1,,FALSE,FALSE,TRUE,User,FALSE,berthasipes@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jIAAQ196864,FALSE,BerthaSipes@googly.comICM Corp,1
ICM Corp,FALSE,BertramKutch@googly.comICM Corp,BertramKutch,1,,FALSE,FALSE,TRUE,User,FALSE,bertramkutch@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jJAAQ035549,FALSE,BertramKutch@googly.comICM Corp,1
ICM Corp,FALSE,BryanaFarrell@googly.comICM Corp,BryanaFarrell,1,,FALSE,FALSE,TRUE,User,FALSE,bryanafarrell@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jKAAQ985390,FALSE,BryanaFarrell@googly.comICM Corp,1
ICM Corp,FALSE,BryanaPfeffer@googly.comICM Corp,BryanaPfeffer,1,,FALSE,FALSE,TRUE,User,FALSE,bryanapfeffer@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jLAAQ076732,FALSE,BryanaPfeffer@googly.comICM Corp,1
ICM Corp,FALSE,BeaulahKautzerSr.@googly.comICM Corp,BeaulahKautzerSr.,1,,FALSE,FALSE,TRUE,User,FALSE,beaulahkautzersr.@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jMAAQ430191,FALSE,BeaulahKautzerSr.@googly.comICM Corp,1
ICM Corp,FALSE,BrionnaDeckowDVM@googly.comICM Corp,BrionnaDeckowDVM,1,,FALSE,FALSE,TRUE,User,FALSE,brionnadeckowdvm@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jNAAQ863220,FALSE,BrionnaDeckowDVM@googly.comICM Corp,1
ICM Corp,FALSE,BarneyJenkins@googly.comICM Corp,BarneyJenkins,1,,FALSE,FALSE,TRUE,User,FALSE,barneyjenkins@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jOAAQ802273,FALSE,BarneyJenkins@googly.comICM Corp,1
ICM Corp,FALSE,BrandyKshlerin@googly.comICM Corp,BrandyKshlerin,1,,FALSE,FALSE,TRUE,User,FALSE,brandykshlerin@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jPAAQ495386,FALSE,BrandyKshlerin@googly.comICM Corp,1
ICM Corp,FALSE,BrendaRobelDVM@googly.comICM Corp,BrendaRobelDVM,1,,FALSE,FALSE,TRUE,User,FALSE,brendarobeldvm@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jQAAQ938128,FALSE,BrendaRobelDVM@googly.comICM Corp,1
ICM Corp,FALSE,BrockKub@googly.comICM Corp,BrockKub,1,,FALSE,FALSE,TRUE,User,FALSE,brockkub@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jRAAQ660236,FALSE,BrockKub@googly.comICM Corp,1
ICM Corp,FALSE,BobbieMills@googly.comICM Corp,BobbieMills,1,,FALSE,FALSE,TRUE,User,FALSE,bobbiemills@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jSAAQ800588,FALSE,BobbieMills@googly.comICM Corp,1
ICM Corp,FALSE,BaileeTrompII@googly.comICM Corp,BaileeTrompII,1,,FALSE,FALSE,TRUE,User,FALSE,baileetrompii@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jTAAQ004871,FALSE,BaileeTrompII@googly.comICM Corp,1
ICM Corp,FALSE,BillMiller@googly.comICM Corp,BillMiller,1,,FALSE,FALSE,TRUE,User,FALSE,billmiller@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jUAAQ758100,FALSE,BillMiller@googly.comICM Corp,1
ICM Corp,FALSE,BettyeTurner@googly.comICM Corp,BettyeTurner,1,,FALSE,FALSE,TRUE,User,FALSE,bettyeturner@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jVAAQ550493,FALSE,BettyeTurner@googly.comICM Corp,1
ICM Corp,FALSE,BlaiseWhite@googly.comICM Corp,BlaiseWhite,1,,FALSE,FALSE,TRUE,User,FALSE,blaisewhite@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jWAAQ106426,FALSE,BlaiseWhite@googly.comICM Corp,1
ICM Corp,FALSE,BellaHamill@googly.comICM Corp,BellaHamill,1,,FALSE,FALSE,TRUE,User,FALSE,bellahamill@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jXAAQ146152,FALSE,BellaHamill@googly.comICM Corp,1
ICM Corp,FALSE,BeauBogan@googly.comICM Corp,BeauBogan,1,,FALSE,FALSE,TRUE,User,FALSE,beaubogan@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jYAAQ216301,FALSE,BeauBogan@googly.comICM Corp,1
ICM Corp,FALSE,BraulioLesch@googly.comICM Corp,BraulioLesch,1,,FALSE,FALSE,TRUE,User,FALSE,brauliolesch@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jZAAQ571955,FALSE,BraulioLesch@googly.comICM Corp,1
ICM Corp,FALSE,BrandyMayert@googly.comICM Corp,BrandyMayert,1,,FALSE,FALSE,TRUE,User,FALSE,brandymayert@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jaAAA734974,FALSE,BrandyMayert@googly.comICM Corp,1
ICM Corp,FALSE,BellHeaney@googly.comICM Corp,BellHeaney,1,,FALSE,FALSE,TRUE,User,FALSE,bellheaney@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jbAAA205179,FALSE,BellHeaney@googly.comICM Corp,1
ICM Corp,FALSE,BartConn@googly.comICM Corp,BartConn,1,,FALSE,FALSE,TRUE,User,FALSE,bartconn@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jcAAA628702,FALSE,BartConn@googly.comICM Corp,1
ICM Corp,FALSE,BobbyDach@googly.comICM Corp,BobbyDach,1,,FALSE,FALSE,TRUE,User,FALSE,bobbydach@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jdAAA297280,FALSE,BobbyDach@googly.comICM Corp,1
ICM Corp,FALSE,BradenRenner@googly.comICM Corp,BradenRenner,1,,FALSE,FALSE,TRUE,User,FALSE,bradenrenner@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jeAAA485188,FALSE,BradenRenner@googly.comICM Corp,1
ICM Corp,FALSE,BrandyKerluke@googly.comICM Corp,BrandyKerluke,1,,FALSE,FALSE,TRUE,User,FALSE,brandykerluke@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jfAAA966058,FALSE,BrandyKerluke@googly.comICM Corp,1
ICM Corp,FALSE,BartholomeLehner@googly.comICM Corp,BartholomeLehner,1,,FALSE,FALSE,TRUE,User,FALSE,bartholomelehner@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jgAAA435763,FALSE,BartholomeLehner@googly.comICM Corp,1
