"JBCXM__Account__c","JBCXM__Stage__c","JBCXM__Status__c","JBCXM__Comments__c"
"0019000000oGESwAAO","stage4","ActiveCustomer","STANLEY BOSTITCH SA DE CV - stage4 - ActiveCustomer"
"0019000000oGELaAAO","stage5","InactiveCustomer","UNIFOODS SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEOzAAO","stage6","ActiveCustomer","TOMAS MARTINEZ PATLAN - stage6 - ActiveCustomer"
"0019000000oGEPnAAO","stage1","InactiveCustomer","JARDINS DE NORTENE - stage1 - InactiveCustomer"
"0019000000oGEcTAAW","stage2","ActiveCustomer","Terry Store age spa - stage2 - ActiveCustomer"
"0019000000oGENxAAO","stage3","InactiveCustomer","Goldie Marketing Pty Ltd - stage3 - InactiveCustomer"
"0019000000oGEV4AAO","stage4","ActiveCustomer","ST. CLAIR SERVICE - stage4 - ActiveCustomer"
"0019000000oGEjOAAW","stage5","InactiveCustomer","Scottish Shellfish Marketing Group Ltd - stage5 - InactiveCustomer"
"0019000000oGEfLAAW","stage6","ActiveCustomer","CARNES KM SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEUFAA4","stage1","InactiveCustomer","COMERCIALIZADORA UNICOR SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEc7AAG","stage2","ActiveCustomer","COMNET SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEf7AAG","stage3","InactiveCustomer","DISTRIB Y COMERC KOWALSKY SA DE CV - stage3 - InactiveCustomer"
"0019000000oGEGKAA4","stage4","ActiveCustomer","FRUITCORP SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEXuAAO","stage5","InactiveCustomer","ORIGINALES THELVA SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEfMAAW","stage6","ActiveCustomer","SISTEMAS MECANICOS E HIDRAULICOS SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEcUAAW","stage1","InactiveCustomer","COMERCIALIZADORA RIMATOM SA de CV - stage1 - InactiveCustomer"
"0019000000nFznFAAS","stage2","ActiveCustomer","K & S Contractors Supply Co - stage2 - ActiveCustomer"
"0019000000oGEWNAA4","stage3","InactiveCustomer","Tioga Hardwoods Inc - stage3 - InactiveCustomer"
"0019000000oGEYEAA4","stage4","ActiveCustomer","GHCL Limited - stage4 - ActiveCustomer"
"0019000000oGENAAA4","stage5","InactiveCustomer","Motion Industries Inc. - stage5 - InactiveCustomer"
"0019000000oGENBAA4","stage6","ActiveCustomer","SUKETU ORGANICS PRIVATE LIMITED - stage6 - ActiveCustomer"
"0019000000oGEcVAAW","stage1","InactiveCustomer","Quantum Foods - stage1 - InactiveCustomer"
"0019000000nFzoBAAS","stage2","ActiveCustomer","Family Magazine - stage2 - ActiveCustomer"
"0019000000oGEM9AAO","stage3","InactiveCustomer","PROGRESSIVE AG PARTNERS - stage3 - InactiveCustomer"
"0019000000oGEYFAA4","stage4","ActiveCustomer","Innovative Laser Inc - stage4 - ActiveCustomer"
"0019000000oGESRAA4","stage5","InactiveCustomer","Addis Housewares Ltd - stage5 - InactiveCustomer"
"0019000000oGETjAAO","stage6","ActiveCustomer","SIGMADIS BRIGNAIS - stage6 - ActiveCustomer"
"0019000000oGEapAAG","stage1","InactiveCustomer","APLNG - stage1 - InactiveCustomer"
"0019000000oGERvAAO","stage2","ActiveCustomer","Quince Hungary Kft - stage2 - ActiveCustomer"
"0019000000nFznpAAC","stage3","InactiveCustomer","Jandel Scientific Inc. - stage3 - InactiveCustomer"
"0019000000oGEWOAA4","stage4","ActiveCustomer","Viking Tool & Steel - stage4 - ActiveCustomer"
"0019000000oGEWPAA4","stage5","InactiveCustomer","HIELO Y REFRIGERACION DE CABORCA SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEfyAAG","stage6","ActiveCustomer","MAPE USA - stage6 - ActiveCustomer"
"0019000000oGEjuAAG","stage1","InactiveCustomer","CONSORCIO DE ALIM DEL CARIBE SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEReAAO","stage2","ActiveCustomer","PRODUCCIONES AGRICOLA DE TABASCO SA CV - stage2 - ActiveCustomer"
"0019000000oGEcWAAW","stage3","InactiveCustomer","RICARDO ALEJANDRO DE LEON PEDROZA - stage3 - InactiveCustomer"
"0019000000oGEjvAAG","stage4","ActiveCustomer","M&M SERVICE CO - stage4 - ActiveCustomer"
"0019000000oGEfNAAW","stage5","InactiveCustomer","CARROLLTON FARMERS ELEVATOR CO - stage5 - InactiveCustomer"
"0019000000oGEYGAA4","stage6","ActiveCustomer","L and P Financial Services Co - stage6 - ActiveCustomer"
"0019000000oGEfzAAG","stage1","InactiveCustomer","Ingenieria y Maquinaria de Guadalupe SA de CV - stage1 - InactiveCustomer"
"0019000000oGEYHAA4","stage2","ActiveCustomer","CATMADER SL - stage2 - ActiveCustomer"
"0019000000oGEYIAA4","stage3","InactiveCustomer","Tekno Inc - stage3 - InactiveCustomer"
"0019000000oGEV5AAO","stage4","ActiveCustomer","LUIS MANUEL REYES VAZQUEZ - stage4 - ActiveCustomer"
"0019000000oGEaJAAW","stage5","InactiveCustomer","COMPUESPECIALISTAS DE SONORA SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEYJAA4","stage6","ActiveCustomer","CRIBAS Y ARRENDAMIENTOS SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEg0AAG","stage1","InactiveCustomer","PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEOTAA4","stage2","ActiveCustomer","COMERGALV SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEjTAAW","stage3","InactiveCustomer","FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV - stage3 - InactiveCustomer"
"0019000000oGELbAAO","stage4","ActiveCustomer","ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S - stage4 - ActiveCustomer"
"0019000000oGETkAAO","stage5","InactiveCustomer","Pintura Estampado y Montaje Sapi de CV - stage5 - InactiveCustomer"
"0019000000oGEcXAAW","stage6","ActiveCustomer","PROD Y DIS VER FRESCAS GUIJOSA SC RL CV - stage6 - ActiveCustomer"
"0019000000oGETDAA4","stage1","InactiveCustomer","TERENTRO SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEbLAAW","stage2","ActiveCustomer","FUNTASTIC LIMITED - stage2 - ActiveCustomer"
"0019000000oGEOUAA4","stage3","InactiveCustomer","DeeTag USA - stage3 - InactiveCustomer"
"0019000000nFzn5AAC","stage4","ActiveCustomer","Lakeland Village - stage4 - ActiveCustomer"
"0019000000oGEj5AAG","stage5","InactiveCustomer","CHAOAN SWEET BEST FOOD CO LTD - stage5 - InactiveCustomer"
"0019000000nFzmeAAC","stage6","ActiveCustomer","Cadbury Beverages Div Cadbury - stage6 - ActiveCustomer"
"0019000000oGEPoAAO","stage1","InactiveCustomer","Do not Use1 - stage1 - InactiveCustomer"
"0019000000oGEjUAAW","stage2","ActiveCustomer","Oil Chem Research Corp - stage2 - ActiveCustomer"
"0019000000oGEXvAAO","stage3","InactiveCustomer","LICK ELEVATOR - stage3 - InactiveCustomer"
"0019000000oGEODAA4","stage4","ActiveCustomer","Quanex Screens LLC - stage4 - ActiveCustomer"
"0019000000nFzo9AAC","stage5","InactiveCustomer","Wind & Rain - stage5 - InactiveCustomer"
"0019000000oGESxAAO","stage6","ActiveCustomer","Axis Communications Inc - stage6 - ActiveCustomer"
"0019000000oGEW5AAO","stage1","InactiveCustomer","COMARK GRAIN MARKETING - stage1 - InactiveCustomer"
"0019000000oGEf8AAG","stage2","ActiveCustomer","METALES Y ALEACIONES ILM SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEYKAA4","stage3","InactiveCustomer","AAM Freudenberg NOK General Partnership - stage3 - InactiveCustomer"
"0019000000oGEUGAA4","stage4","ActiveCustomer","Aerotek Inc - stage4 - ActiveCustomer"
"0019000000oGEaqAAG","stage5","InactiveCustomer","Fresh Source International - stage5 - InactiveCustomer"
"0019000000oGEbMAAW","stage6","ActiveCustomer","Metaldyne - stage6 - ActiveCustomer"
"0019000000oGEMAAA4","stage1","InactiveCustomer","PRODUCTOS PALEY DE CHIHUAHUA SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEcYAAW","stage2","ActiveCustomer","TALCOMAX SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEb5AAG","stage3","InactiveCustomer","SEA TEX LIMITED - stage3 - InactiveCustomer"
"0019000000oGEg1AAG","stage4","ActiveCustomer","HERNANDEZ MARTINEZ JOSE ANTONIO - stage4 - ActiveCustomer"
"0019000000oGETEAA4","stage5","InactiveCustomer","YANIN DEL CARMEN PEREZ SERVIN - stage5 - InactiveCustomer"
"0019000000oGEYLAA4","stage6","ActiveCustomer","YESENIA GARCIA CRUZ - stage6 - ActiveCustomer"
"0019000000oGEjPAAW","stage1","InactiveCustomer","MC DECORATION - stage1 - InactiveCustomer"
"0019000000oGELcAAO","stage2","ActiveCustomer","MAS Active Trading Pvt Ltd - stage2 - ActiveCustomer"
"0019000000oGETFAA4","stage3","InactiveCustomer","Genco Stamping and Manufacturing Company - stage3 - InactiveCustomer"
"0019000000nFznkAAC","stage4","ActiveCustomer","Ocean Sports - stage4 - ActiveCustomer"
"0019000000oGEepAAG","stage5","InactiveCustomer","MODELLERIA BRAMBILLA SRL - stage5 - InactiveCustomer"
"0019000000oGEMfAAO","stage6","ActiveCustomer","ELECTRICA SUMINISTROS Y SERVICIOS SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEcZAAW","stage1","InactiveCustomer","YAZMIN HERNANDEZ TOLENTINO - stage1 - InactiveCustomer"
"0019000000oGEcaAAG","stage2","ActiveCustomer","GRUPO VEGMAN SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEjVAAW","stage3","InactiveCustomer","JP CIGAR GROUP S DE RL DE CV - stage3 - InactiveCustomer"
"0019000000oGEWQAA4","stage4","ActiveCustomer","NICO DE MEXICO SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEOjAAO","stage5","InactiveCustomer","Polish Specialities Ltd - stage5 - InactiveCustomer"
"0019000000oGERNAA4","stage6","ActiveCustomer","BIORGANIMEX SA DE CV - stage6 - ActiveCustomer"
"0019000000oGETlAAO","stage1","InactiveCustomer","ANTONIO GONZALEZ ELIZONDO CABELLO - stage1 - InactiveCustomer"
"0019000000oGER7AAO","stage2","ActiveCustomer","POP MANUFACTURING SA DE CV - stage2 - ActiveCustomer"
"0019000000oGESyAAO","stage3","InactiveCustomer","ARTICULOS SELECTOS Y JUEGOS SA DE CV - stage3 - InactiveCustomer"
"0019000000oGEg2AAG","stage4","ActiveCustomer","Bodegas de Vino SA de CV - stage4 - ActiveCustomer"
"0019000000oGETmAAO","stage5","InactiveCustomer","CASIAN HERMANOS SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEWRAA4","stage6","ActiveCustomer","FASCO COMERCIALIZADORA SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEg3AAG","stage1","InactiveCustomer","GENOMMA LAB INTERNACIONAL SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEcbAAG","stage2","ActiveCustomer","GPO AGROIND DE ALIMENTOS MEXICANOS SA CV - stage2 - ActiveCustomer"
"0019000000oGEQbAAO","stage3","InactiveCustomer","MA GABRIELA SANCHEZ LARRAGUIVEL - stage3 - InactiveCustomer"
"0019000000oGEUHAA4","stage4","ActiveCustomer","MUNDO DE PRENDAS S DE RL DE CV - stage4 - ActiveCustomer"
"0019000000oGEccAAG","stage5","InactiveCustomer","PROMOTORA TEXTIL DE TEPEJI DEL RIO SA CV - stage5 - InactiveCustomer"
"0019000000oGEarAAG","stage6","ActiveCustomer","SOLUCIONES LUMINICAS PLUS SC DE RL DE CV - stage6 - ActiveCustomer"
"0019000000oGEYMAA4","stage1","InactiveCustomer","WACHOVIA SA DE CV - stage1 - InactiveCustomer"
"0019000000oGENCAA4","stage2","ActiveCustomer","ZAFIRO CASUAL SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEXwAAO","stage3","InactiveCustomer","VER CHEM SA DE C V - stage3 - InactiveCustomer"
"0019000000oGEbNAAW","stage4","ActiveCustomer","INDIV DE MEXICO SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEPpAAO","stage5","InactiveCustomer","BLOCK Y ELEMENTOS ESTRUCTURALES DEL NOROESTE SA - stage5 - InactiveCustomer"
"0019000000oGEbOAAW","stage6","ActiveCustomer","CIMENTACIONES Y ESTRUCTURAS DEL PACIFICO SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEPGAA4","stage1","InactiveCustomer","JESUS JAVIER GARCIA VELARDE - stage1 - InactiveCustomer"
"0019000000oGEg4AAG","stage2","ActiveCustomer","JJGC PUBLICIDAD SC - stage2 - ActiveCustomer"
"0019000000oGETGAA4","stage3","InactiveCustomer","JUAN RAMON CARDENAS SALAZAR - stage3 - InactiveCustomer"
"0019000000oGEYNAA4","stage4","ActiveCustomer","KAM YING WONG CASTRO - stage4 - ActiveCustomer"
"0019000000oGEUnAAO","stage5","InactiveCustomer","Merit Design Studio Inc - stage5 - InactiveCustomer"
"0019000000oGESzAAO","stage6","ActiveCustomer","Air Liquide America LP - stage6 - ActiveCustomer"
"0019000000oGEj6AAG","stage1","InactiveCustomer","PAM TRANSPORT INC - stage1 - InactiveCustomer"
"0019000000nFzn7AAC","stage2","ActiveCustomer","State House Active Wear - stage2 - ActiveCustomer"
"0019000000nFznDAAS","stage3","InactiveCustomer","Volga Boats - stage3 - InactiveCustomer"
"0019000000oGEQrAAO","stage4","ActiveCustomer","Swiss Valley Farms - stage4 - ActiveCustomer"
"0019000000oGEj7AAG","stage5","InactiveCustomer","ARCHER DANIELS MIDLAND COMPANY - stage5 - InactiveCustomer"
"0019000000oGEUIAA4","stage6","ActiveCustomer","Tactical Solutions UK Ltd - stage6 - ActiveCustomer"
"0019000000oGEQcAAO","stage1","InactiveCustomer","Cendris Print Management BV - stage1 - InactiveCustomer"
"0019000000nFznyAAC","stage2","ActiveCustomer","ImageTek Corp - stage2 - ActiveCustomer"
"0019000000oGEeqAAG","stage3","InactiveCustomer","Zhejiang Dehua TB Import & Export - stage3 - InactiveCustomer"
"0019000000oGEMOAA4","stage4","ActiveCustomer","IG Accessories Ltd - stage4 - ActiveCustomer"
"0019000000oGEYOAA4","stage5","InactiveCustomer","MACSTEEL - stage5 - InactiveCustomer"
"0019000000oGEWSAA4","stage6","ActiveCustomer","Metaldyne Windfall Division - stage6 - ActiveCustomer"
"0019000000oGEVpAAO","stage1","InactiveCustomer","Premium Fresh Tasmania - stage1 - InactiveCustomer"
"0019000000oGEYPAA4","stage2","ActiveCustomer","Golden Times Sweater And Dyeing Ltd - stage2 - ActiveCustomer"
"0019000000oGEcdAAG","stage3","InactiveCustomer","Karim Textiles Ltd - stage3 - InactiveCustomer"
"0019000000oGEYQAA4","stage4","ActiveCustomer","RUNNING FASHIONS LTD ( Unit - 2 ) - stage4 - ActiveCustomer"
"0019000000nFzoFAAS","stage5","InactiveCustomer","Harken Marketing Co - stage5 - InactiveCustomer"
"0019000000oGETHAA4","stage6","ActiveCustomer","Suiker Unie - stage6 - ActiveCustomer"
"0019000000oGEiaAAG","stage1","InactiveCustomer","Qatar Chemical and Petrochemical Marketing and Dis - stage1 - InactiveCustomer"
"0019000000oGESSAA4","stage2","ActiveCustomer","Pullman Fleet Services - stage2 - ActiveCustomer"
"0019000000oGENQAA4","stage3","InactiveCustomer","Dongguan Hexing Metal Tin Box Manufactory - stage3 - InactiveCustomer"
"0019000000oGEMPAA4","stage4","ActiveCustomer","DONGGUAN JINLIYI INDUSTRIAL CO LTD - stage4 - ActiveCustomer"
"0019000000oGEPqAAO","stage5","InactiveCustomer","Model Furniture And Clocks - stage5 - InactiveCustomer"
"0019000000oGEjQAAW","stage6","ActiveCustomer","Vnice Furniture Co Ltd - stage6 - ActiveCustomer"
"0019000000nFzoKAAS","stage1","InactiveCustomer","East Coast Traders - stage1 - InactiveCustomer"
"0019000000oGENDAA4","stage2","ActiveCustomer","FARMERS COOPERATIVE - stage2 - ActiveCustomer"
"0019000000oGEWTAA4","stage3","InactiveCustomer","PRAIRIETOWN FEED SERVICE - stage3 - InactiveCustomer"
"0019000000oGEg5AAG","stage4","ActiveCustomer","Albonair GmbH - stage4 - ActiveCustomer"
"0019000000oGEOkAAO","stage5","InactiveCustomer","GMC Hardwoods Inc - stage5 - InactiveCustomer"
"0019000000oGEUJAA4","stage6","ActiveCustomer","Honeytop Speciality Foods Ltd - stage6 - ActiveCustomer"
"0019000000oGEc8AAG","stage1","InactiveCustomer","FABIOLA GARCIA GONZALEZ - stage1 - InactiveCustomer"
"0019000000oGEOVAA4","stage2","ActiveCustomer","IRMA CARRANZA ESQUIVEL - stage2 - ActiveCustomer"
"0019000000oGET0AAO","stage3","InactiveCustomer","Dickinson Frozen Foods Inc - stage3 - InactiveCustomer"
"0019000000oGEg6AAG","stage4","ActiveCustomer","Sea Watch International - stage4 - ActiveCustomer"
"0019000000oGEceAAG","stage5","InactiveCustomer","Sea Watch International LTD (20) - stage5 - InactiveCustomer"
"0019000000oGENyAAO","stage6","ActiveCustomer","RAFAEL ARTURO MARENCO IBARRA - stage6 - ActiveCustomer"
"0019000000oGEg7AAG","stage1","InactiveCustomer","MILYON SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEcfAAG","stage2","ActiveCustomer","Cardinal Glass Industries Inc - stage2 - ActiveCustomer"
"0019000000oGEWUAA4","stage3","InactiveCustomer","MTS Systems Corporation - stage3 - InactiveCustomer"
"0019000000oGEb6AAG","stage4","ActiveCustomer","MERIAL DE MEXICO SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEf9AAG","stage5","InactiveCustomer","GRUPO INDUSTRIAL DETESI SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEasAAG","stage6","ActiveCustomer","URREA HERRAMIENTAS PROFESIONAL SA C - stage6 - ActiveCustomer"
"0019000000oGEYRAA4","stage1","InactiveCustomer","VERONICA EMETERIO MUNOZ - stage1 - InactiveCustomer"
"0019000000oGEPWAA4","stage2","ActiveCustomer","SKF USA Inc - stage2 - ActiveCustomer"
"0019000000nFzo5AAC","stage3","InactiveCustomer","Gamblers Anonymous - stage3 - InactiveCustomer"
"0019000000oGEg8AAG","stage4","ActiveCustomer","Logoplaste Elst BV - stage4 - ActiveCustomer"
"0019000000oGEcgAAG","stage5","InactiveCustomer","Gelderland Frischwarenges GmbH - stage5 - InactiveCustomer"
"0019000000nFznOAAS","stage6","ActiveCustomer","La Costa Hotel & Spa - stage6 - ActiveCustomer"
"0019000000oGESAAA4","stage1","InactiveCustomer","W.B. JOHNSTON GRAIN COMPANY - stage1 - InactiveCustomer"
"0019000000oGEGLAA4","stage2","ActiveCustomer","SAHARA LUZ ROMERO ANAYA - stage2 - ActiveCustomer"
"0019000000oGEROAA4","stage3","InactiveCustomer","P S TRANSPORTATION - stage3 - InactiveCustomer"
"0019000000oGEVIAA4","stage4","ActiveCustomer","Big Sister Foods Pty Ltd - stage4 - ActiveCustomer"
"0019000000nFzn4AAC","stage5","InactiveCustomer","Bachman Information System Inc. - stage5 - InactiveCustomer"
"0019000000oGEYSAA4","stage6","ActiveCustomer","ELIAS ABELARDO AMARO VILLAMIL - stage6 - ActiveCustomer"
"0019000000oGEfAAAW","stage1","InactiveCustomer","Meat Corporation of Namibia - stage1 - InactiveCustomer"
"0019000000oGEYTAA4","stage2","ActiveCustomer","GOHAR TEXTILE MILLS (PVT) LTD - stage2 - ActiveCustomer"
"0019000000nFzndAAC","stage3","InactiveCustomer","Majestic Entertainment - stage3 - InactiveCustomer"
"0019000000nFzoDAAS","stage4","ActiveCustomer","Cahn Instruments Inc - stage4 - ActiveCustomer"
"0019000000oGEFaAAO","stage5","InactiveCustomer","KINETIC LEASING - stage5 - InactiveCustomer"
"0019000000oGEchAAG","stage6","ActiveCustomer","Birdsall Tool & Gage Co - stage6 - ActiveCustomer"
"0019000000nFzmiAAC","stage1","InactiveCustomer","Ferrara Foods & Confections - stage1 - InactiveCustomer"
"0019000000oGEYUAA4","stage2","ActiveCustomer","KURARAY AMERICA INC - stage2 - ActiveCustomer"
"0019000000oGEOEAA4","stage3","InactiveCustomer","OMNI INSTRUMENTS LLC - stage3 - InactiveCustomer"
"0019000000oGEPXAA4","stage4","ActiveCustomer","DAMPF INGENIERIA SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEg9AAG","stage5","InactiveCustomer","FURISON ELECTRIC COMPONENT CON LTD - stage5 - InactiveCustomer"
"0019000000oGEPYAA4","stage6","ActiveCustomer","FLOCH EQUIPOS SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEPHAA4","stage1","InactiveCustomer","IMPLEMENTOS AVICOLAS FLOCH SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEMgAAO","stage2","ActiveCustomer","Eco-Energy Inc. - stage2 - ActiveCustomer"
"0019000000oGEgAAAW","stage3","InactiveCustomer","FRANKLIN ELEVATOR INC - stage3 - InactiveCustomer"
"0019000000nFznsAAC","stage4","ActiveCustomer","Oakland Carbide Engineering & - stage4 - ActiveCustomer"
"0019000000oGEFbAAO","stage5","InactiveCustomer","REES FARMERS ELEVATOR - stage5 - InactiveCustomer"
"0019000000oGEciAAG","stage6","ActiveCustomer","DRESSLER TRUCK SERVICE INC - stage6 - ActiveCustomer"
"0019000000oGEWVAA4","stage1","InactiveCustomer","New York Pty Ltd - stage1 - InactiveCustomer"
"0019000000oGEgBAAW","stage2","ActiveCustomer","Sterling Supply Co Inc - stage2 - ActiveCustomer"
"0019000000nFzmdAAC","stage3","InactiveCustomer","Back Stage Magazine - stage3 - InactiveCustomer"
"0019000000oGERfAAO","stage4","ActiveCustomer","JOSE ANTONIO GARCIA HERNANDEZ - stage4 - ActiveCustomer"
"0019000000oGEaaAAG","stage5","InactiveCustomer","Capital Projects Construction and Maintenance - stage5 - InactiveCustomer"
"0019000000oGER8AAO","stage6","ActiveCustomer","Fujian Reida Precision Co LTD - stage6 - ActiveCustomer"
"0019000000oGEcjAAG","stage1","InactiveCustomer","FUZHOU UNICO TRADING CO LTD - stage1 - InactiveCustomer"
"0019000000oGENhAAO","stage2","ActiveCustomer","GABRIEL AGUILAR AGUILA PENA - stage2 - ActiveCustomer"
"0019000000oGENEAA4","stage3","InactiveCustomer","SANCHEZ GUAJARDO HUMBERTO - stage3 - InactiveCustomer"
"0019000000oGEFcAAO","stage4","ActiveCustomer","REGINALDO MONTEMAYOR GARZA - stage4 - ActiveCustomer"
"0019000000oGEMQAA4","stage5","InactiveCustomer","HAESONG CORPORATION LTD UNIT 2 - stage5 - InactiveCustomer"
"0019000000oGEWWAA4","stage6","ActiveCustomer","S M KNITWEARS LTD - stage6 - ActiveCustomer"
"0019000000oGEQLAA4","stage1","InactiveCustomer","JUAN JOSE SANCHEZ REYES - stage1 - InactiveCustomer"
"0019000000nFznqAAC","stage2","ActiveCustomer","Karpen & Steel Products Inc - stage2 - ActiveCustomer"
"0019000000oGEFdAAO","stage3","InactiveCustomer","Third Dimension Inc - stage3 - InactiveCustomer"
