"GSA_ContactID","GSA_AccountID","GSA_LastName","GSA_FirstName","GSA_ContactName","GSA_Email","GSA_AccountName","GSA_Account_ExternalId__c","GSA_Contact_ExternalId__c","GSA_Event","Date","EventTimeStamp","Logins","UniqueLogins","PageLoadTime","FileSize","Price"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","08-02-2015","08-02-2015 08:11:24","26","2","26","120","32"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-25-2015","07-25-2015 08:11:24","40","1","25","146","37"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","08-04-2015","08-04-2015 08:11:24","20","5","9","115","13"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","08-01-2015","08-01-2015 08:11:24","12","0","0","0","34"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-26-2015","07-26-2015 08:11:24","11","0","8","142","36"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","08-03-2015","08-03-2015 08:11:24","26","3","0","127","63"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","08-01-2015","08-01-2015 08:11:24","38","2","0","171","85"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-26-2015","07-26-2015 08:11:24","30","1","20","24","13"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-25-2015","07-25-2015 08:11:24","3","5","23","86","100"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","08-02-2015","08-02-2015 08:11:24","45","5","25","137","63"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-25-2015","07-25-2015 08:11:24","21","0","15","22","94"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-25-2015","07-25-2015 08:11:24","12","4","13","110","93"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-22-2015","07-22-2015 08:11:24","4","4","17","140","13"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","08-01-2015","08-01-2015 08:11:24","50","4","30","51","86"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-29-2015","07-29-2015 08:11:24","20","5","15","140","7"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-30-2015","07-30-2015 08:11:24","7","4","2","5","98"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-24-2015","07-24-2015 08:11:24","39","2","29","223","43"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","08-04-2015","08-04-2015 08:11:24","32","0","15","282","60"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-22-2015","07-22-2015 08:11:24","42","0","4","269","29"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-31-2015","07-31-2015 08:11:24","37","3","12","181","75"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-26-2015","07-26-2015 08:11:24","33","0","23","192","86"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-23-2015","07-23-2015 08:11:24","25","1","4","166","29"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","08-04-2015","08-04-2015 08:11:24","4","5","0","206","30"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-24-2015","07-24-2015 08:11:24","20","1","26","40","71"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-29-2015","07-29-2015 08:11:24","4","0","17","145","2"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-24-2015","07-24-2015 08:11:24","39","2","23","192","5"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-23-2015","07-23-2015 08:11:24","11","0","14","242","86"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-30-2015","07-30-2015 08:11:24","48","1","20","34","48"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-22-2015","07-22-2015 08:11:24","0","1","7","210","7"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-23-2015","07-23-2015 08:11:24","45","1","10","289","98"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-29-2015","07-29-2015 08:11:24","23","1","12","201","16"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-23-2015","07-23-2015 08:11:24","2","4","8","200","26"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","08-04-2015","08-04-2015 08:11:24","0","0","23","226","69"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-22-2015","07-22-2015 08:11:24","37","2","13","2","51"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-26-2015","07-26-2015 08:11:24","25","3","6","191","76"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","08-02-2015","08-02-2015 08:11:24","20","3","0","54","10"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","08-02-2015","08-02-2015 08:11:24","5","2","20","249","66"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-29-2015","07-29-2015 08:11:24","13","5","9","300","86"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-24-2015","07-24-2015 08:11:24","25","5","18","202","38"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-27-2015","07-27-2015 08:11:24","17","3","26","128","15"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-29-2015","07-29-2015 08:11:24","35","1","8","63","26"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","08-01-2015","08-01-2015 08:11:24","14","0","29","252","83"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-24-2015","07-24-2015 08:11:24","1","0","3","47","43"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-31-2015","07-31-2015 08:11:24","50","1","29","262","45"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-23-2015","07-23-2015 08:11:24","9","1","13","67","3"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-30-2015","07-30-2015 08:11:24","16","1","5","129","44"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-22-2015","07-22-2015 08:11:24","39","4","6","55","90"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","08-04-2015","08-04-2015 08:11:24","41","1","20","133","82"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-31-2015","07-31-2015 08:11:24","49","1","4","223","15"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-28-2015","07-28-2015 08:11:24","0","0","24","50","81"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","08-04-2015","08-04-2015 08:11:24","0","3","19","127","67"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-23-2015","07-23-2015 08:11:24","33","2","21","28","69"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-31-2015","07-31-2015 08:11:24","17","5","21","153","65"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-26-2015","07-26-2015 08:11:24","38","0","1","180","76"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-23-2015","07-23-2015 08:11:24","29","2","3","262","96"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-31-2015","07-31-2015 08:11:24","46","1","2","196","6"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","08-04-2015","08-04-2015 08:11:24","13","3","22","96","75"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","08-03-2015","08-03-2015 08:11:24","24","0","3","57","69"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-26-2015","07-26-2015 08:11:24","16","2","13","230","86"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-27-2015","07-27-2015 08:11:24","25","5","10","279","49"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","08-01-2015","08-01-2015 08:11:24","5","1","5","38","75"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-31-2015","07-31-2015 08:11:24","30","0","19","96","76"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-23-2015","07-23-2015 08:11:24","2","1","8","106","63"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-22-2015","07-22-2015 08:11:24","50","5","26","289","35"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-26-2015","07-26-2015 08:11:24","33","3","30","289","9"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-22-2015","07-22-2015 08:11:24","28","4","28","236","43"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-26-2015","07-26-2015 08:11:24","7","3","29","50","77"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-31-2015","07-31-2015 08:11:24","12","3","28","32","8"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-28-2015","07-28-2015 08:11:24","50","2","6","156","20"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","08-05-2015","08-05-2015 08:11:24","50","1","13","122","95"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-30-2015","07-30-2015 08:11:24","6","4","14","96","72"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","07-24-2015","07-24-2015 08:11:24","45","5","6","29","99"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-30-2015","07-30-2015 08:11:24","7","2","14","119","68"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-30-2015","07-30-2015 08:11:24","10","2","4","209","34"
"003280000057JC9AAM","00128000004IjUYAA0","Abberley  Avinash","Pulimi","Pulimi Abberley  Avinash","abberleyavinash@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj03AAA","PDF Exported","07-30-2015","07-30-2015 08:11:24","0","4","28","253","35"
"003280000057JCAAA2","00128000004IjUYAA0","Abberley  Kuditipudi","Raja","Raja Abberley  Kuditipudi","abberleykuditipudi@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj04AAA","360 Page","07-29-2015","07-29-2015 08:11:24","17","1","18","88","95"
"003280000057JCBAA2","00128000004IjUYAA0","Abberley  Yaddanapalli","Rajesh","Rajesh Abberley  Yaddanapalli","abberleyyaddanapalli@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj05AAA","Rule Run","07-27-2015","07-27-2015 08:11:24","24","2","16","244","12"
"003280000057JCCAA2","00128000004IjUYAA0","Abberley  Bankuru","Ramesh","Ramesh Abberley  Bankuru","abberleybankuru@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj06AAA","Rule Schedule Run","08-03-2015","08-03-2015 08:11:24","32","3","6","172","73"
"003280000057JCDAA2","00128000004IjUYAA0","Abberley  Gurram","Ranjith Kumar","Ranjith Kumar Abberley  Gurram","abberleygurram@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj07AAA","OutReach Schedule Triggered","07-23-2015","07-23-2015 08:11:24","44","1","3","289","74"
"003280000057JC8AAM","00128000004IjUYAA0","Abberley  Mendu","Prashanthi","Prashanthi Abberley  Mendu","abberleymendu@gainsighttest.com","Abberley Kooiman","0011a000004szhnAAA","0031a000002kj02AAA","Outreach Triggered","07-24-2015","07-24-2015 08:11:24","1","4","24","76","50"
