Account.Data_ExternalId__c,Contact_ExternalID__c,LeadSource,LastName,Title,Email,NumberField__c,Birthdate,NoOfReferrals__c,NumForDate__c,InvolvedIn__c,DealCloseRate__c,Active__c
Survey Rule Account 4,Survey Rule Account 4Jaya Prakash,Web,Jaya Prakash,Engineer,jvunnam@gainsight.com,345,02/05/14,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 4,Survey Rule Account 4Kiran Kumar,Phone Inquiry,Kiran Kumar,Junior Engineer,kgubbala@gainsight.com,2345,01/04/13,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 4,Survey Rule Account 4Krishna Sekhar,Partner Referral,Krishna Sekhar,Senior Engineer,ksarangam@gainsight.com,235,21/03/14,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 4,Survey Rule Account 4Murali Krishna,Purchased List,Murali Krishna,Associate Engineer,murali@gainsight.com,4,06/01/09,4,-30,Budget,70,TRUE
Survey Rule Account 4,Survey Rule Account 4Murthy,Other,Murthy,Manager,mkavali@gainsight.com,2,30/10/13,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 5,Survey Rule Account 5Narayanan,Web,Narayanan,Senior Manager,snarayanan@gainsight.com,2,04/12/13,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 5,Survey Rule Account 5Nitin,Phone Inquiry,Nitin,CEO,npawar@gainsight.com,2345,27/05/13,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 5,Survey Rule Account 5Pawan,Partner Referral,Pawan,CFO,pVajipeyajula@gainsight.com,234,11/03/14,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 5,Survey Rule Account 5Pawel,Purchased List,Pawel,CMO,pdalal@gainsight.com,52,27/02/14,4,-30,Budget,99,FALSE
Survey Rule Account 5,Survey Rule Account 5Periasami,Other,Periasami,CSM,pparthiban@gainsight.com,345,24/03/14,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 6,Survey Rule Account 6Pradeep,Web,Pradeep,Marketing Manager,psaraswathi@gainsight.com,256,03/03/14,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 6,Survey Rule Account 6Pradip Biswas,Phone Inquiry,Pradip Biswas,Sales Manager,pbiswas@gainsight.com,6,11/11/13,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 6,Survey Rule Account 6Prashanthi,Partner Referral,Prashanthi,Decision Maker,pmendu@gainsight.com,85,01/08/13,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 6,Survey Rule Account 6Prathap,Purchased List,Prathap,Budget Manger,svaprathap@gainsight.com,35,10/07/13,4,-30,Budget,70,TRUE
Survey Rule Account 6,Survey Rule Account 6Pulimi,Other,Pulimi,Team Lead,apulimi@gainsight.com,345,01/12/13,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 7 ,Survey Rule Account 7 Raja,Web,Raja,Engineer,rkuditipudi@gainsight.com,62,12/03/14,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 7 ,Survey Rule Account 7 Rajesh,Phone Inquiry,Rajesh,Junior Engineer,ryaddanapalli@gainsight.com,47,16/04/12,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 7 ,Survey Rule Account 7 Ramesh,Partner Referral,Ramesh,Senior Engineer,rbankuru@gainsight.com,678,07/10/13,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 7 ,Survey Rule Account 7 Ranjith Kumar,Purchased List,Ranjith Kumar,Associate Engineer,rkumar@gainsight.com,345,19/07/13,4,-30,Budget,99,FALSE
Survey Rule Account 7 ,Survey Rule Account 7 Renetha,Other,Renetha,Manager,rravela@gainsight.com,234,28/10/13,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 8,Survey Rule Account 8Sai Karthik,Web,Sai Karthik,Senior Manager,sganguru@gainsight.com,34,11/04/13,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 8,Survey Rule Account 8Sai ram,Phone Inquiry,Sai ram,CEO,spulluri@gainsight.com,746584,15/04/13,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 8,Survey Rule Account 8Sandeep,Partner Referral,Sandeep,CFO,sdugar@gainsight.com,56,05/05/14,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 8,Survey Rule Account 8Sandhya,Purchased List,Sandhya,CMO,sagarwal@gainsight.com,345745,09/12/13,4,-30,Budget,70,TRUE
Survey Rule Account 8,Survey Rule Account 8Sandy,Other,Sandy,CSM,sandy@gainsight.com,84564637,27/04/13,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 9,Survey Rule Account 9Santa,Web,Santa,Marketing Manager,sthounajam@gainsight.com,658,04/11/13,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 9,Survey Rule Account 9Santosh,Phone Inquiry,Santosh,Sales Manager,schikoti@gainsight.com,325,06/11/13,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 9,Survey Rule Account 9Siddhartha,Partner Referral,Siddhartha,Decision Maker,sidhu@gainsight.com,2345,24/08/09,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 9,Survey Rule Account 9Siva Prasad,Purchased List,Siva Prasad,Budget Manger,snasika@gainsight.com,24,28/10/13,4,-30,Budget,99,FALSE
Survey Rule Account 9,Survey Rule Account 9Sneha,Other,Sneha,Team Lead,sjha@gainsight.com,52,02/05/14,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 10,Survey Rule Account 10Somasekhar,Web,Somasekhar,Engineer,sbobba@gainsight.com,45,21/05/13,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 10,Survey Rule Account 10Sreedhar,Phone Inquiry,Sreedhar,Junior Engineer,speddineni@gainsight.com,24523,01/02/11,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 10,Survey Rule Account 10Sri Vidya,Partner Referral,Sri Vidya,Senior Engineer,srallapalli@gainsight.com,452,29/10/13,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 10,Survey Rule Account 10Srinivas,Purchased List,Srinivas,Associate Engineer,spulagam@gainsight.com,45,20/05/13,4,-30,Budget,70,TRUE
Survey Rule Account 10,Survey Rule Account 10Sunand,Other,Sunand,Manager,spadmanabhan@gainsight.com,34532,21/06/13,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 11,Survey Rule Account 11Swatantra Agrawal,Web,Swatantra Agrawal,Senior Manager,sagrawal@gainsight.com,2,12/11/13,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 11,Survey Rule Account 11Swetha,Phone Inquiry,Swetha,CEO,sparava@gainsight.com,3452,04/04/14,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 11,Survey Rule Account 11Ugesh,Partner Referral,Ugesh,CFO,ugesh@gainsight.com,345,01/01/09,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 11,Survey Rule Account 11Veeranjaneya,Purchased List,Veeranjaneya,CMO,rthummalapalli@gainsight.com,2456345,09/12/13,4,-30,Budget,99,FALSE
Survey Rule Account 11,Survey Rule Account 11Vellaichamy,Other,Vellaichamy,CSM,svellaichamy@gainsight.com,354,14/11/12,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 12,Survey Rule Account 12Allison,Web,Allison,Marketing Manager,Allison1@gainsight.com,567,20/01/13,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 12,Survey Rule Account 12Anthony,Phone Inquiry,Anthony,Sales Manager,Anthony1@gainsight.com,345,11/03/13,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 12,Survey Rule Account 12Bijal,Partner Referral,Bijal,Decision Maker,Bijal1@gainsight.com,2345,27/05/14,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 12,Survey Rule Account 12Bill,Purchased List,Bill,Budget Manger,Bill1@gainsight.com,235,28/07/14,4,-30,Budget,70,FALSE
Survey Rule Account 12,Survey Rule Account 12Bryan,Other,Bryan,Team Lead,Bryan1@gainsight.com,4,11/11/13,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 13,Survey Rule Account 13Chris,Web,Chris,Engineer,Chris1@gainsight.com,2,10/02/14,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 13,Survey Rule Account 13Dan1,Phone Inquiry,Dan1,Junior Engineer,Dan1@gainsight.com,2,04/06/12,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 13,Survey Rule Account 13Dan2,Partner Referral,Dan2,Senior Engineer,Dan2@gainsight.com,2345,17/03/14,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 13,Survey Rule Account 13Denise,Purchased List,Denise,Associate Engineer,Denise1@gainsight.com,234,11/10/13,4,-30,Budget,99,TRUE
Survey Rule Account 13,Survey Rule Account 13Denyce,Other,Denyce,Manager,Denyce1@gainsight.com,52,03/12/13,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 14,Survey Rule Account 14Elaine,Web,Elaine,Senior Manager,Elaine1@gainsight.com,345,02/10/13,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 14,Survey Rule Account 14Irit,Phone Inquiry,Irit,CEO,Irit1@gainsight.com,256,11/03/13,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 14,Survey Rule Account 14Jack,Partner Referral,Jack,CFO,Jack1@gainsight.com,6,09/06/14,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 14,Survey Rule Account 14Joe,Purchased List,Joe,CMO,Joe1@gainsight.com,85,09/12/13,4,-30,Budget,70,FALSE
Survey Rule Account 14,Survey Rule Account 14Joffer,Other,Joffer,CSM,Joffer1@gainsight.com,35,01/07/13,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 15,Survey Rule Account 15Julia,Web,Julia,Marketing Manager,Julia1@gainsight.com,345,21/04/14,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 15,Survey Rule Account 15Karen,Phone Inquiry,Karen,Sales Manager,Karen1@gainsight.com,62,01/04/13,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 15,Survey Rule Account 15Kelly,Partner Referral,Kelly,Decision Maker,Kelly1@gainsight.com,47,20/01/13,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 15,Survey Rule Account 15Kevin,Purchased List,Kevin,Budget Manger,Kevin1@gainsight.com,678,14/07/14,4,-30,Budget,99,TRUE
Survey Rule Account 15,Survey Rule Account 15Kris,Other,Kris,Team Lead,Kris1@gainsight.com,345,25/02/13,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 16,Survey Rule Account 16Lauren,Web,Lauren,Engineer,Lauren1@gainsight.com,234,25/03/13,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 16,Survey Rule Account 16Lincoln,Phone Inquiry,Lincoln,Junior Engineer,Lincoln1@gainsight.com,34,21/04/14,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 16,Survey Rule Account 16Manu,Partner Referral,Manu,Senior Engineer,Manu1@gainsight.com,746584,06/06/12,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 16,Survey Rule Account 16Meenal,Purchased List,Meenal,Associate Engineer,Meenal1@gainsight.com,56,11/10/13,4,-30,Budget,70,FALSE
Survey Rule Account 16,Survey Rule Account 16Mike,Other,Mike,Manager,Mike1@gainsight.com,345745,04/11/13,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 17,Survey Rule Account 17Mike,Web,Mike,Senior Manager,Mike1@gainsight.com,84564637,21/04/14,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 17,Survey Rule Account 17Milad,Phone Inquiry,Milad,CEO,Milad1@gainsight.com,658,29/05/13,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 17,Survey Rule Account 17Nick,Partner Referral,Nick,CFO,Nick1@gainsight.com,325,04/02/13,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 17,Survey Rule Account 17Paul,Purchased List,Paul,CMO,Paul1@gainsight.com,2345,27/03/13,4,-30,Budget,99,TRUE
Survey Rule Account 17,Survey Rule Account 17Puja,Other,Puja,CSM,Puja1@gainsight.com,24,20/01/13,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 18,Survey Rule Account 18Ross,Web,Ross,Marketing Manager,Ross1@gainsight.com,52,09/12/13,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 18,Survey Rule Account 18Ryan,Phone Inquiry,Ryan,Sales Manager,Ryan1@gainsight.com,45,19/08/13,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 18,Survey Rule Account 18Sam,Partner Referral,Sam,Decision Maker,Sam1@gainsight.com,24523,20/01/13,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 18,Survey Rule Account 18Samantha,Purchased List,Samantha,Budget Manger,Samantha1@gainsight.com,452,05/08/13,4,-30,Budget,70,FALSE
Survey Rule Account 18,Survey Rule Account 18Sanoam,Other,Sanoam,Team Lead,Sanoam1@gainsight.com,45,04/08/14,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 19,Survey Rule Account 19Scott,Web,Scott,Engineer,Scott1@gainsight.com,34532,03/02/14,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 19,Survey Rule Account 19Seokho,Phone Inquiry,Seokho,Junior Engineer,Seokho1@gainsight.com,2,22/04/14,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 19,Survey Rule Account 19Serra,Partner Referral,Serra,Senior Engineer,Serra1@gainsight.com,3452,11/11/13,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 19,Survey Rule Account 19Seth,Purchased List,Seth,Associate Engineer,Seth1@gainsight.com,345,13/01/14,4,-30,Budget,99,TRUE
Survey Rule Account 19,Survey Rule Account 19Sheila,Other,Sheila,Manager,Sheila1@gainsight.com,2456345,09/12/13,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 20,Survey Rule Account 20Sherif,Web,Sherif,Senior Manager,Sherif1@gainsight.com,354,20/01/13,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 20,Survey Rule Account 20Sid,Phone Inquiry,Sid,CEO,Sid1@gainsight.com,567,19/08/13,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 20,Survey Rule Account 20Steve1,Partner Referral,Steve1,CFO,Steve1@gainsight.com,345,11/03/13,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 20,Survey Rule Account 20Steve2,Purchased List,Steve2,CMO,Steve1@gainsight.com,2345,04/08/14,4,-30,Budget,70,FALSE
Survey Rule Account 20,Survey Rule Account 20Taylor,Other,Taylor,CSM,Taylor1@gainsight.com,235,19/08/13,10,40,Forecast;Budget;Marketing,80,TRUE
