JBCXM__Account__r.Data_ExternalId__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Tag__c,JBCXM__ASV__c,JBCXM__MRR__c,JBCXM__OneTimeRevenue__c,JBCXM__Users__c,JBCXM__OriginalContractDate__c,JBCXM__NextRenewalDate__c,JBCXM__Comments__c,Cdate1__c,Cdate2__c,Cdate3__c,Ctext1__c,Ctext2__c,Ctext3__c,CdateTime1__c,CdateTime2__c,CdateTime3__c,Cboolean1__c,Cboolean2__c,Cboolean3__c,CtextArea1__c,CtextArea2__c,CtextArea3__c,Cnumber1__c,Cnumber2__c,Cnumber3__c
CustomRule Account 11,stage5,ChurnCustomer,Onboarding,0,0,12,5,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-60,CustomRule Account 11,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,1,1,1,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,11,,
CustomRule Account 12,stage6,ActiveCustomer,Up-sell,100,99,78.8,0,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-30,CustomRule Account 12,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,2,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,6,,
DcustomRule Account 13,stage1,InactiveCustomer,Active,1000,999,49.5,1000,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-15,DcustomRule Account 13,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,3,3,3,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1,,
DcustomRule Account 14,stage2,ChurnCustomer,Churned,10000,9999,100000,100,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,-10,DcustomRule Account 14,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,4,4,4,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,1001,,
DcustomRule Account 15,stage3,ActiveCustomer,Established,100000,99999,199.3,50,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,0,DcustomRule Account 15,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,5,1,1,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,1002,,
DcustomRule Account 16,stage4,InactiveCustomer,Inactive,0,0,12,10,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-60,DcustomRule Account 16,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,1,2,2,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,102,,
EcustomRule Account 17,stage5,ChurnCustomer,Onboarding,100,99,78.8,5,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-30,EcustomRule Account 17,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,2,2,2,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,52,,
EcustomRule Account 18,stage6,ActiveCustomer,Up-sell,1000,999,49.5,0,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-15,EcustomRule Account 18,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,3,3,3,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,12,,
EcustomRule Account 19,stage1,InactiveCustomer,Active,10000,9999,100000,1000,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,-10,EcustomRule Account 19,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,4,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,7,,
EcustomRule Account 20,stage2,ChurnCustomer,Churned,100000,99999,199.3,100,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,0,EcustomRule Account 20,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,5,1,1,FALSE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,2,,
FcustomRule Account 21,stage3,ActiveCustomer,Established,0,0,12,50,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,0,FcustomRule Account 21,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,1,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,1002,,
FcustomRule Account 22,stage4,InactiveCustomer,Inactive,100,99,78.8,10,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-60,FcustomRule Account 22,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,2,3,3,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1003,,
FcustomRule Account 23,stage5,ChurnCustomer,Onboarding,1000,999,49.5,5,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-30,FcustomRule Account 23,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,3,4,4,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,103,,
FcustomRule Account 24,stage6,ActiveCustomer,Up-sell,10000,9999,100000,0,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-15,FcustomRule Account 24,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,4,5,5,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,53,,
GcustomRule Account 25,stage1,InactiveCustomer,Active,100000,99999,199.3,1000,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-10,GcustomRule Account 25,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,5,1,1,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,13,,
HcustomRule Account 26,stage2,ChurnCustomer,Churned,0,0,12,100,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-60,0,HcustomRule Account 26,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,1,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,8,,
HcustomRule Account 27,stage3,ActiveCustomer,Established,100,99,78.8,50,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-30,-60,HcustomRule Account 27,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,2,3,3,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,3,,
HcustomRule Account 28,stage4,InactiveCustomer,Inactive,1000,999,49.5,10,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,-15,-30,HcustomRule Account 28,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,3,4,4,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1000,,
HcustomRule Account 29,stage5,ChurnCustomer,Onboarding,10000,9999,100000,5,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-10,-15,HcustomRule Account 29,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,4,1,1,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,100,,
IcustomRule Account 30,stage6,ActiveCustomer,Up-sell,100000,99999,199.3,0,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,0,-60,IcustomRule Account 30,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,5,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,50,,
IcustomRule Account 31,stage1,InactiveCustomer,Active,0,0,12,1000,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-30,IcustomRule Account 31,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,1,2,2,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,10,,
IcustomRule Account 32,stage2,ChurnCustomer,Churned,100,99,78.8,100,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-15,IcustomRule Account 32,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,2,3,3,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,5,,
IcustomRule Account 33,stage3,ActiveCustomer,Established,1000,999,49.5,50,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-10,IcustomRule Account 33,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,3,1,1,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,0,,
JcustomRule Account 34,stage4,InactiveCustomer,Inactive,10000,9999,100000,10,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,0,JcustomRule Account 34,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,4,1,1,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1000,,
JcustomRule Account 35,stage5,ChurnCustomer,Onboarding,100000,99999,199.3,5,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,-60,JcustomRule Account 35,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,5,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,1001,,
JcustomRule Account 36,stage6,ActiveCustomer,Up-sell,0,0,12,0,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-30,JcustomRule Account 36,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,1,2,3,FALSE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,101,,
JcustomRule Account 37,stage1,InactiveCustomer,Active,100,99,78.8,1000,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-15,JcustomRule Account 37,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,2,1,1,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,51,,
KcustomRule Account 38,stage2,ChurnCustomer,Churned,1000,999,49.5,100,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-10,KcustomRule Account 38,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,3,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,11,,
KcustomRule Account 39,stage3,ActiveCustomer,Established,10000,9999,100000,50,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,0,KcustomRule Account 39,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,4,3,3,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,6,,
KcustomRule Account 40,stage4,InactiveCustomer,Inactive,100000,99999,199.3,10,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,-60,KcustomRule Account 40,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,5,4,4,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1,,
KcustomRule Account 41,stage5,ChurnCustomer,Onboarding,0,0,12,5,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-30,KcustomRule Account 41,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,1,5,5,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,1001,,
LcustomRule Account 42,stage6,ActiveCustomer,Up-sell,100,99,78.8,0,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-15,LcustomRule Account 42,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,2,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,1002,,
LcustomRule Account 43,stage1,InactiveCustomer,Active,1000,999,49.5,1000,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-10,LcustomRule Account 43,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,3,2,2,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,102,,
LcustomRule Account 44,stage2,ChurnCustomer,Churned,10000,9999,100000,100,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,0,LcustomRule Account 44,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,4,3,3,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,52,,
LcustomRule Account 45,stage3,ActiveCustomer,Established,100000,99999,199.3,50,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,-60,LcustomRule Account 45,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,5,4,4,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,12,,
McustomRule Account 46,stage4,InactiveCustomer,Inactive,0,0,12,10,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-30,McustomRule Account 46,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,1,5,5,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,7,,
McustomRule Account 47,stage5,ChurnCustomer,Onboarding,100,99,78.8,5,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-15,McustomRule Account 47,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,2,1,1,FALSE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,2,,
McustomRule Account 48,stage6,ActiveCustomer,Up-sell,1000,999,49.5,0,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-10,McustomRule Account 48,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,3,2,2,FALSE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,1002,,
McustomRule Account 49,stage1,InactiveCustomer,Active,10000,9999,100000,1000,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,21,0,McustomRule Account 49,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,4,3,3,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1003,,
NcustomRule Account 50,stage2,ChurnCustomer,Churned,100000,99999,199.3,100,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,22,-60,NcustomRule Account 50,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,5,4,4,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,103,,
NcustomRule Account 51,stage3,ActiveCustomer,Established,0,0,12,50,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,1,-30,NcustomRule Account 51,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,1,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,53,,
NcustomRule Account 52,stage4,InactiveCustomer,Inactive,100,99,78.8,10,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,11,-15,NcustomRule Account 52,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,2,2,2,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,13,,
NcustomRule Account 53,stage5,ChurnCustomer,Onboarding,1000,999,49.5,5,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-30,-60,NcustomRule Account 53,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,3,2,2,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,8,,
OcustomRule Account 54,stage6,ActiveCustomer,Up-sell,10000,9999,100000,0,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-15,-30,OcustomRule Account 54,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,4,3,3,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,3,,
OcustomRule Account 55,stage1,InactiveCustomer,Active,100000,99999,199.3,1000,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-10,-15,OcustomRule Account 55,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,5,1,1,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1000,,
OcustomRule Account 56,stage2,ChurnCustomer,Churned,0,0,12,100,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,0,-10,OcustomRule Account 56,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,1,1,1,FALSE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,100,,
OcustomRule Account 57,stage3,ActiveCustomer,Established,100,99,78.8,50,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-60,0,OcustomRule Account 57,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,2,2,2,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,50,,
PcustomRule Account 58,stage4,InactiveCustomer,Inactive,1000,999,49.5,10,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,-30,-60,PcustomRule Account 58,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,3,3,3,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,10,,
PcustomRule Account 59,stage5,ChurnCustomer,Onboarding,10000,9999,100000,5,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-15,-30,PcustomRule Account 59,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,4,4,4,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,5,,
PcustomRule Account 60,stage6,ActiveCustomer,Up-sell,100000,99999,199.3,0,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-10,-60,PcustomRule Account 60,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,5,5,5,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,0,,
PcustomRule Account 61,stage1,InactiveCustomer,Active,0,0,12,1000,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,0,-30,PcustomRule Account 61,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,1,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1000,,
QcustomRule Account 62,stage2,ChurnCustomer,Churned,100,99,78.8,100,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-60,-15,QcustomRule Account 62,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,2,2,2,FALSE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,1001,,
QcustomRule Account 63,stage3,ActiveCustomer,Established,1000,999,49.5,50,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,-30,-10,QcustomRule Account 63,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,3,3,3,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,101,,
QcustomRule Account 64,stage4,InactiveCustomer,Inactive,10000,9999,100000,10,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-15,0,QcustomRule Account 64,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,4,4,4,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,51,,
QcustomRule Account 62,stage5,ChurnCustomer,Onboarding,100000,99999,199.3,5,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-10,-60,QcustomRule Account 62,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,5,5,5,FALSE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,11,,
RcustomRule Account 66,stage6,ActiveCustomer,Up-sell,0,0,12,0,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,0,-30,RcustomRule Account 66,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,1,1,1,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,6,,
RcustomRule Account 67,stage1,InactiveCustomer,Active,100,99,78.8,1000,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-60,-60,RcustomRule Account 67,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,2,2,2,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1,,
RcustomRule Account 68,stage2,ChurnCustomer,Churned,1000,999,49.5,100,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,-30,-30,RcustomRule Account 68,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,3,3,3,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,1001,,
