Name,Description,Phone,Rating,Type,AnnualRevenue,Currency_Auto__c,Date_Auto__c,Date_Auto1__c,DateTime_Auto__c,NumberOfEmployees,Industry,MultiPicklist_Auto__c,Number_Auto__c,Percent_Auto__c,PickList_Auto__c,URL_Auto__c,Boolean_Auto__c,Data_ExternalId__c
JcustomRule Account 34,Necessity is the mother of invention,7416130743,Hot,Integrator,10000000,300,-34,32,34,100000,Service,MPL2,100,100,Average,https://www.gainsight.com,,JcustomRule Account 34
JcustomRule Account 35,Necessity is the mother of invention,7416130744,Warm,Investor,9999,0,-35,33,35,99,Healthcare,MPL1,50,0,Poor,https://www.gmail.com,,JcustomRule Account 35
JcustomRule Account 36,Necessity is the mother of invention,7416130745,Cold,Partner,12345,1000,-36,34,36,100,Service,MPL2,1234,50,Vpoor,https://www.yahoo.com,,JcustomRule Account 36
JcustomRule Account 37,Necessity is the mother of invention,7416130746,Hot,Press,0,1600,-37,35,37,1000,Hospitality,MPL1,-12,1000,Excellent,https://www.google.com,,JcustomRule Account 37
KcustomRule Account 38,Necessity is the mother of invention,7416130747,Warm,Prospect,991,555,-38,36,38,0,Technology,MPL2,10000,100,Vgood,https://www.gainsight.com,,KcustomRule Account 38
KcustomRule Account 39,Necessity is the mother of invention,7416130748,Cold,Reseller,100,300,-39,37,39,100000,Finance,MPL1,100,0,Good,https://www.gmail.com,,KcustomRule Account 39
KcustomRule Account 40,Necessity is the mother of invention,7416130749,Hot,Other,4234,0,-40,38,40,99,Manufacturing,MPL2,50,50,Average,https://www.yahoo.com,,KcustomRule Account 40
KcustomRule Account 41,Necessity is the mother of invention,7416130750,Warm,Analyst,1000000,1000,-41,39,41,100,Chemicals,MPL1,1234,1000,Poor,https://www.google.com,,KcustomRule Account 41
LcustomRule Account 42,Necessity is the mother of invention,7416130751,Cold,Competitor,10000000,1600,-42,40,42,1000,Technology,MPL2,-12,100,Vpoor,https://www.gainsight.com,,LcustomRule Account 42
LcustomRule Account 43,Necessity is the mother of invention,7416130752,Hot,Customer,9999,555,-43,41,43,0,Service,MPL1,10000,0,Excellent,https://www.gmail.com,,LcustomRule Account 43
LcustomRule Account 44,Necessity is the mother of invention,7416130753,Warm,Integrator,12345,300,-44,42,44,100000,Insurance,MPL2,100,50,Vgood,https://www.yahoo.com,,LcustomRule Account 44
LcustomRule Account 45,Necessity is the mother of invention,7416130754,Cold,Investor,0,0,-45,43,45,99,Service,MPL1,50,1000,Good,https://www.google.com,,LcustomRule Account 45
McustomRule Account 46,Necessity is the mother of invention,7416130755,Hot,Partner,991,1000,-46,44,46,100,Hospitality,MPL2,1234,100,Average,https://www.gainsight.com,,McustomRule Account 46
McustomRule Account 47,Necessity is the mother of invention,7416130756,Warm,Press,100,1600,-47,45,47,1000,Oil & Gas & Energy,MPL1,-12,0,Poor,https://www.gmail.com,,McustomRule Account 47
McustomRule Account 48,Necessity is the mother of invention,7416130757,Cold,Prospect,4234,555,-48,46,48,0,Healthcare,MPL2,10000,50,Vpoor,https://www.yahoo.com,,McustomRule Account 48
McustomRule Account 49,Necessity is the mother of invention,7416130758,Hot,Reseller,1000000,300,-49,47,49,100000,Retail,MPL1,100,1000,Excellent,https://www.google.com,,McustomRule Account 49
NcustomRule Account 50,Necessity is the mother of invention,7416130759,Warm,Other,10000000,0,-50,48,50,99,Shipping,MPL2,50,100,Vgood,https://www.gainsight.com,,NcustomRule Account 50
NcustomRule Account 51,Necessity is the mother of invention,7416130760,Cold,Analyst,9999,1000,-51,49,51,100,Non-profit,MPL1,1234,0,Good,https://www.gmail.com,,NcustomRule Account 51
NcustomRule Account 52,Necessity is the mother of invention,7416130761,Hot,Competitor,12345,1600,-52,50,52,1000,Biotechnology,MPL2,-12,50,Average,https://www.yahoo.com,,NcustomRule Account 52
NcustomRule Account 53,Necessity is the mother of invention,7416130762,Warm,Customer,0,555,-53,51,53,0,Utilities,MPL1,10000,1000,Poor,https://www.google.com,,NcustomRule Account 53
OcustomRule Account 54,Necessity is the mother of invention,7416130763,Cold,Integrator,991,300,-54,52,54,100000,Manufacturing,MPL2,100,100,Vpoor,https://www.gainsight.com,,OcustomRule Account 54
OcustomRule Account 55,Necessity is the mother of invention,7416130764,Hot,Investor,100,0,-55,53,55,99,Manufacturing,MPL1,50,0,Excellent,https://www.gmail.com,,OcustomRule Account 55
OcustomRule Account 56,Necessity is the mother of invention,7416130765,Warm,Partner,4234,1000,-56,54,56,100,Government,MPL2,1234,50,Vgood,https://www.yahoo.com,,OcustomRule Account 56
OcustomRule Account 57,Necessity is the mother of invention,7416130766,Cold,Press,1000000,1600,-57,55,57,1000,Manufacturing,MPL1,-12,1000,Good,https://www.google.com,,OcustomRule Account 57
PcustomRule Account 58,Necessity is the mother of invention,7416130767,Hot,Prospect,10000000,555,-58,56,58,0,Manufacturing,MPL2,10000,100,Average,https://www.gainsight.com,,PcustomRule Account 58
PcustomRule Account 59,Necessity is the mother of invention,7416130768,Warm,Reseller,9999,300,-59,57,59,100000,Medical Equipment & Supplies,MPL1,100,0,Poor,https://www.gmail.com,,PcustomRule Account 59
PcustomRule Account 60,Necessity is the mother of invention,7416130769,Cold,Other,12345,0,-60,58,60,99,Medical Devices,MPL2,50,50,Vpoor,https://www.yahoo.com,,PcustomRule Account 60
PcustomRule Account 61,Necessity is the mother of invention,7416130770,Hot,Analyst,0,1000,-61,59,61,100,Telecommunications,MPL1,1234,1000,Excellent,https://www.google.com,,PcustomRule Account 61
QcustomRule Account 62,Necessity is the mother of invention,7416130771,Warm,Competitor,991,1600,-62,60,62,1000,Agriculture,MPL2,-12,100,Vgood,https://www.gainsight.com,,QcustomRule Account 62
QcustomRule Account 63,Necessity is the mother of invention,7416130772,Cold,Customer,100,555,-63,61,63,0,Manufacturing,MPL1,10000,0,Good,https://www.gmail.com,,QcustomRule Account 63
QcustomRule Account 64,Necessity is the mother of invention,7416130773,Hot,Integrator,4234,300,-64,62,64,100000,Energy,MPL2,100,50,Average,https://www.yahoo.com,,QcustomRule Account 64
QcustomRule Account 62,Necessity is the mother of invention,7416130774,Warm,Investor,1000000,0,-65,63,65,99,Government,MPL1,50,1000,Poor,https://www.google.com,,QcustomRule Account 62
RcustomRule Account 66,Necessity is the mother of invention,7416130775,Cold,Partner,10000000,1000,-66,64,66,100,Food & Beverage,MPL2,1234,100,Vpoor,https://www.gainsight.com,,RcustomRule Account 66
RcustomRule Account 67,Necessity is the mother of invention,7416130776,Hot,Press,9999,1600,-67,65,67,1000,Food & Beverage,MPL1,-12,0,Excellent,https://www.gmail.com,,RcustomRule Account 67
RcustomRule Account 68,Necessity is the mother of invention,7416130777,Warm,Prospect,12345,555,-68,66,68,0,Agriculture,MPL2,10000,50,Vgood,https://www.yahoo.com,,RcustomRule Account 68
RcustomRule Account 69,Necessity is the mother of invention,7416130778,Cold,Reseller,0,300,-69,67,69,100000,Food & Beverage,MPL1,100,1000,Good,https://www.google.com,,RcustomRule Account 69
ScustomRule Account 70,Necessity is the mother of invention,7416130779,Hot,Other,991,0,-70,68,70,99,Consulting,MPL2,50,100,Average,https://www.gainsight.com,,ScustomRule Account 70
TcustomRule Account 71,Necessity is the mother of invention,7416130780,Warm,Analyst,100,1000,-71,69,71,100,Consumer Services,MPL1,1234,0,Poor,https://www.gmail.com,,TcustomRule Account 71
UcustomRule Account 72,Necessity is the mother of invention,7416130781,Cold,Competitor,4234,1600,-72,70,72,1000,Transportation,MPL2,-12,50,Vpoor,https://www.yahoo.com,,UcustomRule Account 72
VcustomRule Account 73,Necessity is the mother of invention,7416130782,Hot,Customer,1000000,555,-73,71,73,0,Technology,MPL1,10000,1000,Excellent,https://www.google.com,,VcustomRule Account 73
WcustomRule Account 74,Necessity is the mother of invention,7416130783,Warm,Integrator,10000000,300,-74,72,74,100000,Technology,MPL2,100,100,Vgood,https://www.gainsight.com,,WcustomRule Account 74
XcustomRule Account 75,Necessity is the mother of invention,7416130784,Cold,Investor,9999,0,-75,73,75,99,Manufacturing,MPL1,50,0,Good,https://www.gmail.com,,XcustomRule Account 75
YcustomRule Account 76,Necessity is the mother of invention,7416130785,Hot,Partner,12345,1000,-76,74,76,100,Manufacturing,MPL2,1234,50,Average,https://www.yahoo.com,,YcustomRule Account 76
ZcustomRule Account 77,Necessity is the mother of invention,7416130786,Warm,Press,0,1600,-77,75,77,1000,Finance,MPL1,-12,1000,Poor,https://www.google.com,,ZcustomRule Account 77
GcustomRule Account 78,Necessity is the mother of invention,7416130787,Cold,Prospect,991,555,-78,76,78,0,Manufacturing,MPL2,10000,100,Vpoor,https://www.gainsight.com,,GcustomRule Account 78
GcustomRule Account 79,Necessity is the mother of invention,7416130788,Hot,Reseller,100,300,-79,77,79,100000,Oil & Gas Exploration & Production,MPL1,100,0,Excellent,https://www.gmail.com,,GcustomRule Account 79
GcustomRule Account 80,Necessity is the mother of invention,7416130789,Warm,Other,4234,0,-80,78,80,99,Retail,MPL2,50,50,Vgood,https://www.yahoo.com,,GcustomRule Account 80
