Account,Name,Date,InstanceId,InstanceName,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Vesco Foods Pty Ltd,INSTANCELEVEL,-1,Instance 1,Vesco Foods Pty Ltd - Instance 1,212,4422,5312,1103,753,652,381,1782,2046
AUREA SOFTWARE INC,INSTANCELEVEL,-1,Instance 1,AUREA SOFTWARE INC - Instance 1,6188,865,9769,2465,315,1014,226,1093,2127
Ocean Sports Wear,INSTANCELEVEL,-1,Instance 1,Ocean Sports Wear - Instance 1,4519,1294,2584,10454,789,1002,137,1586,1722
NOVA INSTRUMENTS SERVICE SA DE CV,INSTANCELEVEL,-1,Instance 1,NOVA INSTRUMENTS SERVICE SA DE CV - Instance 1,9130,236,448,4171,798,675,363,1167,1926
RAUL MORALES RAMIREZ,INSTANCELEVEL,-1,Instance 1,RAUL MORALES RAMIREZ - Instance 1,8103,7462,1646,5739,439,633,166,1034,2306
STANLEY BOSTITCH SA DE CV,INSTANCELEVEL,-1,Instance 1,STANLEY BOSTITCH SA DE CV - Instance 1,4274,8607,8309,2692,544,713,451,1563,2380
UNIFOODS SA DE CV,INSTANCELEVEL,-1,Instance 1,UNIFOODS SA DE CV - Instance 1,9468,4007,1315,1794,723,981,378,1399,2171
TOMAS MARTINEZ PATLAN,INSTANCELEVEL,-1,Instance 1,TOMAS MARTINEZ PATLAN - Instance 1,3546,2001,10292,6025,395,1068,217,1807,2377
JARDINS DE NORTENE,INSTANCELEVEL,-1,Instance 1,JARDINS DE NORTENE - Instance 1,3215,9529,5276,10114,733,621,66,1220,2423
Terry Store age spa,INSTANCELEVEL,-1,Instance 1,Terry Store age spa - Instance 1,3647,10773,10737,7162,341,747,67,1689,2151
Goldie Marketing Pty Ltd,INSTANCELEVEL,-1,Instance 1,Goldie Marketing Pty Ltd - Instance 1,10395,5734,51,32,763,818,216,1074,1590
ST. CLAIR SERVICE,INSTANCELEVEL,-1,Instance 1,ST. CLAIR SERVICE - Instance 1,10236,3813,7417,4406,504,1023,232,1066,2037
Scottish Shellfish Marketing Group Ltd,INSTANCELEVEL,-1,Instance 1,Scottish Shellfish Marketing Group Ltd - Instance 1,7664,11459,443,137,627,603,119,1844,1997
CARNES KM SA DE CV,INSTANCELEVEL,-1,Instance 1,CARNES KM SA DE CV - Instance 1,9580,1228,3373,3268,474,1037,44,1295,1639
COMERCIALIZADORA UNICOR SA DE CV,INSTANCELEVEL,-1,Instance 1,COMERCIALIZADORA UNICOR SA DE CV - Instance 1,4532,11437,5616,10148,690,807,253,1239,1882
COMNET SA DE CV,INSTANCELEVEL,-1,Instance 1,COMNET SA DE CV - Instance 1,3260,4456,1998,6926,311,735,468,1232,1549
DISTRIB Y COMERC KOWALSKY SA DE CV,INSTANCELEVEL,-1,Instance 1,DISTRIB Y COMERC KOWALSKY SA DE CV - Instance 1,7471,7779,3381,10405,358,963,314,1377,2213
FRUITCORP SA DE CV,INSTANCELEVEL,-1,Instance 1,FRUITCORP SA DE CV - Instance 1,6387,11056,9416,3050,433,844,217,1157,2423
ORIGINALES THELVA SA DE CV,INSTANCELEVEL,-1,Instance 1,ORIGINALES THELVA SA DE CV - Instance 1,11056,9073,2855,817,411,984,146,1524,1775
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,INSTANCELEVEL,-1,Instance 1,SISTEMAS MECANICOS E HIDRAULICOS SA DE CV - Instance 1,9659,3768,9101,1515,358,719,344,1954,1958
COMERCIALIZADORA RIMATOM SA de CV,INSTANCELEVEL,-1,Instance 1,COMERCIALIZADORA RIMATOM SA de CV - Instance 1,2372,4945,4243,8639,461,913,489,1474,1973
K & S Contractors Supply Co,INSTANCELEVEL,-1,Instance 1,K & S Contractors Supply Co - Instance 1,6193,9483,8470,3252,306,879,423,1407,2431
Tioga Hardwoods Inc,INSTANCELEVEL,-1,Instance 1,Tioga Hardwoods Inc - Instance 1,10016,8096,8656,1145,452,799,190,1009,2196
GHCL Limited,INSTANCELEVEL,-1,Instance 1,GHCL Limited - Instance 1,8171,1044,10395,778,781,1038,86,1122,1763
Motion Industries Inc.,INSTANCELEVEL,-1,Instance 1,Motion Industries Inc. - Instance 1,11978,8158,1252,8546,765,836,231,1521,1506
SUKETU ORGANICS PRIVATE LIMITED,INSTANCELEVEL,-1,Instance 1,SUKETU ORGANICS PRIVATE LIMITED - Instance 1,4158,4606,3238,8568,431,1063,341,1855,1537
Quantum Foods,INSTANCELEVEL,-1,Instance 1,Quantum Foods - Instance 1,8522,11735,718,11721,348,789,273,1087,2447
Family Magazine,INSTANCELEVEL,-1,Instance 1,Family Magazine - Instance 1,9778,6653,11422,9911,327,678,69,1708,2083
PROGRESSIVE AG PARTNERS,INSTANCELEVEL,-1,Instance 1,PROGRESSIVE AG PARTNERS - Instance 1,4393,165,9143,6465,668,826,311,1331,2051
Innovative Laser Inc,INSTANCELEVEL,-1,Instance 1,Innovative Laser Inc - Instance 1,11700,7756,10905,5435,796,783,353,1945,2273
Addis Housewares Ltd,INSTANCELEVEL,-1,Instance 1,Addis Housewares Ltd - Instance 1,4271,11050,3909,11335,477,692,66,1718,2141
SIGMADIS BRIGNAIS,INSTANCELEVEL,-1,Instance 1,SIGMADIS BRIGNAIS - Instance 1,826,5139,11923,3599,362,839,44,1541,2495
APLNG,INSTANCELEVEL,-1,Instance 1,APLNG - Instance 1,10388,11123,4008,10772,618,1098,367,1246,2048
Quince Hungary Kft,INSTANCELEVEL,-1,Instance 1,Quince Hungary Kft - Instance 1,1013,3017,1309,6954,357,607,19,1093,1944
Jandel Scientific Inc.,INSTANCELEVEL,-1,Instance 1,Jandel Scientific Inc. - Instance 1,9391,7937,981,10862,355,754,23,1429,1801
Viking Tool & Steel,INSTANCELEVEL,-1,Instance 1,Viking Tool & Steel - Instance 1,8743,4278,8597,6951,464,1025,321,1700,1588
HIELO Y REFRIGERACION DE CABORCA SA DE CV,INSTANCELEVEL,-1,Instance 1,HIELO Y REFRIGERACION DE CABORCA SA DE CV - Instance 1,10898,235,8659,10878,682,989,14,1455,2271
MAPE USA,INSTANCELEVEL,-1,Instance 1,MAPE USA - Instance 1,3650,2446,11562,10020,304,1098,127,1222,1642
CONSORCIO DE ALIM DEL CARIBE SA DE CV,INSTANCELEVEL,-1,Instance 1,CONSORCIO DE ALIM DEL CARIBE SA DE CV - Instance 1,7989,7847,9125,4608,693,901,285,1256,2197
PRODUCCIONES AGRICOLA DE TABASCO SA CV,INSTANCELEVEL,-1,Instance 1,PRODUCCIONES AGRICOLA DE TABASCO SA CV - Instance 1,5334,10322,11113,98,497,866,19,1783,1820
RICARDO ALEJANDRO DE LEON PEDROZA,INSTANCELEVEL,-1,Instance 1,RICARDO ALEJANDRO DE LEON PEDROZA - Instance 1,3272,1420,1419,6557,334,985,132,1428,1938
M&M SERVICE CO,INSTANCELEVEL,-1,Instance 1,M&M SERVICE CO - Instance 1,5632,3868,5856,6893,668,1083,271,1899,2453
CARROLLTON FARMERS ELEVATOR CO,INSTANCELEVEL,-1,Instance 1,CARROLLTON FARMERS ELEVATOR CO - Instance 1,8217,11021,7547,4888,412,659,352,1816,1869
L and P Financial Services Co,INSTANCELEVEL,-1,Instance 1,L and P Financial Services Co - Instance 1,2134,75,11379,6798,472,712,186,1316,2404
Ingenieria y Maquinaria de Guadalupe SA de CV,INSTANCELEVEL,-1,Instance 1,Ingenieria y Maquinaria de Guadalupe SA de CV - Instance 1,2067,10645,543,4334,500,755,169,1466,2155
CATMADER SL,INSTANCELEVEL,-1,Instance 1,CATMADER SL - Instance 1,4346,9165,11457,766,738,845,79,1394,2117
Tekno Inc,INSTANCELEVEL,-1,Instance 1,Tekno Inc - Instance 1,7103,5215,4464,5785,351,647,41,1367,1569
LUIS MANUEL REYES VAZQUEZ,INSTANCELEVEL,-1,Instance 1,LUIS MANUEL REYES VAZQUEZ - Instance 1,11141,8919,4858,9492,469,872,47,1356,1847
COMPUESPECIALISTAS DE SONORA SA DE CV,INSTANCELEVEL,-1,Instance 1,COMPUESPECIALISTAS DE SONORA SA DE CV - Instance 1,8511,3035,6302,95,720,1021,405,1674,1958
CRIBAS Y ARRENDAMIENTOS SA DE CV,INSTANCELEVEL,-1,Instance 1,CRIBAS Y ARRENDAMIENTOS SA DE CV - Instance 1,7475,3347,6069,10738,598,986,144,1490,1855
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,INSTANCELEVEL,-1,Instance 1,PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV - Instance 1,885,1502,4286,1464,789,923,243,1064,2113
COMERGALV SA DE CV,INSTANCELEVEL,-1,Instance 1,COMERGALV SA DE CV - Instance 1,6432,772,4053,6480,485,1002,104,1772,2073
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,INSTANCELEVEL,-1,Instance 1,FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV - Instance 1,11380,2931,7787,9379,757,635,197,1387,2441
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,INSTANCELEVEL,-1,Instance 1,ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S - Instance 1,4590,2688,695,7547,339,1091,124,1517,1585
Pintura Estampado y Montaje Sapi de CV,INSTANCELEVEL,-1,Instance 1,Pintura Estampado y Montaje Sapi de CV - Instance 1,10119,9672,10468,9006,383,899,186,1128,1703
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,INSTANCELEVEL,-1,Instance 1,PROD Y DIS VER FRESCAS GUIJOSA SC RL CV - Instance 1,3982,8942,9609,8121,706,829,390,1888,2311
TERENTRO SA DE CV,INSTANCELEVEL,-1,Instance 1,TERENTRO SA DE CV - Instance 1,11541,1552,10250,1873,708,768,303,1803,1668
FUNTASTIC LIMITED,INSTANCELEVEL,-1,Instance 1,FUNTASTIC LIMITED - Instance 1,11820,7759,9341,5838,586,710,11,1063,2184
DeeTag USA,INSTANCELEVEL,-1,Instance 1,DeeTag USA - Instance 1,10140,9327,9508,1132,324,1003,126,1136,2349
Lakeland Village,INSTANCELEVEL,-1,Instance 1,Lakeland Village - Instance 1,7949,7198,6523,7561,530,802,424,1631,2449
CHAOAN SWEET BEST FOOD CO LTD,INSTANCELEVEL,-1,Instance 1,CHAOAN SWEET BEST FOOD CO LTD - Instance 1,10513,4203,5299,8308,721,862,43,1388,1728
Cadbury Beverages Div Cadbury,INSTANCELEVEL,-1,Instance 1,Cadbury Beverages Div Cadbury - Instance 1,7343,4788,7001,5682,618,1084,417,1124,2212
Do not Use1,INSTANCELEVEL,-1,Instance 1,Do not Use1 - Instance 1,10429,4035,11764,10664,550,1008,68,1208,1899
Oil Chem Research Corp,INSTANCELEVEL,-1,Instance 1,Oil Chem Research Corp - Instance 1,5025,3361,9687,7954,781,1006,295,1593,2006
LICK ELEVATOR,INSTANCELEVEL,-1,Instance 1,LICK ELEVATOR - Instance 1,9376,4672,1044,5360,653,629,491,1662,2234
Quanex Screens LLC,INSTANCELEVEL,-1,Instance 1,Quanex Screens LLC - Instance 1,5541,7929,1408,142,690,1069,465,1504,2135
A and T unlimit Limited,INSTANCELEVEL,-1,Instance 2,A and T unlimit Limited - Instance 2,10192,10034,9550,245,402,744,414,1073,1751
Sienna Gold Ltd,INSTANCELEVEL,-1,Instance 2,Sienna Gold Ltd - Instance 2,11260,6326,11261,5238,350,823,265,1737,1644
COLD EXPRESS SA DE CV,INSTANCELEVEL,-1,Instance 2,COLD EXPRESS SA DE CV - Instance 2,3344,11078,7631,11200,531,634,381,1156,1963
Murex N.A. Ltd,INSTANCELEVEL,-1,Instance 2,Murex N.A. Ltd - Instance 2,1460,8574,2960,9793,796,817,371,1075,1930
Via Systems,INSTANCELEVEL,-1,Instance 2,Via Systems - Instance 2,10136,7172,11913,2186,457,838,474,1915,1637
DAKTEL COMUNICACIONES SA DE CV,INSTANCELEVEL,-1,Instance 2,DAKTEL COMUNICACIONES SA DE CV - Instance 2,7733,10480,7540,10644,562,984,27,1881,1658
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,INSTANCELEVEL,-1,Instance 2,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - Instance 2,11166,9112,550,5398,543,957,407,1174,1622
OBED GERARDO ARELLANO GUTIERREZ,INSTANCELEVEL,-1,Instance 2,OBED GERARDO ARELLANO GUTIERREZ - Instance 2,11214,9161,11131,3182,480,609,147,1242,2010
REFRIGERACION COMER AGROPECU,INSTANCELEVEL,-1,Instance 2,REFRIGERACION COMER AGROPECU - Instance 2,4700,10908,490,8488,326,741,8,1274,2447
Anunay Fab Ltd,INSTANCELEVEL,-1,Instance 2,Anunay Fab Ltd - Instance 2,2311,9461,4810,10524,518,730,218,1927,1925
SUPER URECOAT INDUSTRIES,INSTANCELEVEL,-1,Instance 2,SUPER URECOAT INDUSTRIES - Instance 2,2732,2561,2701,10425,534,1052,250,1130,2021
Jadow B & Sons Inc,INSTANCELEVEL,-1,Instance 2,Jadow B & Sons Inc - Instance 2,8987,5281,2473,7233,636,965,329,1366,1943
Republic of Nauru Phosphate (RONPHOS) Corporation,INSTANCELEVEL,-1,Instance 2,Republic of Nauru Phosphate (RONPHOS) Corporation - Instance 2,11996,10448,11839,9526,520,671,319,1586,2258
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,INSTANCELEVEL,-1,Instance 2,CARHLUC CARROCERIAS Y REMOLQUES SA DE CV - Instance 2,7535,3388,1766,10388,414,1084,374,1568,1868
Alltech Automotive LLC,INSTANCELEVEL,-1,Instance 2,Alltech Automotive LLC - Instance 2,11033,7532,6534,5183,518,664,265,1093,1551
DALE VALOR A MEXICO SC,INSTANCELEVEL,-1,Instance 2,DALE VALOR A MEXICO SC - Instance 2,7164,7144,6295,11701,457,843,450,1483,1512
SPIN MASTER MEXICO SA DE CV,INSTANCELEVEL,-1,Instance 2,SPIN MASTER MEXICO SA DE CV - Instance 2,10949,3506,4021,2961,655,1100,364,1861,1505
ATTEBURY GRAIN,INSTANCELEVEL,-1,Instance 2,ATTEBURY GRAIN - Instance 2,2537,11891,4610,1421,662,629,458,1740,1743
Vicor,INSTANCELEVEL,-1,Instance 2,Vicor - Instance 2,9997,2555,3585,7199,325,1082,63,1709,2273
Baja Inc,INSTANCELEVEL,-1,Instance 2,Baja Inc - Instance 2,5136,8548,3105,9227,781,918,449,1157,2289
National Assn of Printing Ink,INSTANCELEVEL,-1,Instance 2,National Assn of Printing Ink - Instance 2,768,2541,9660,2387,382,962,12,1859,2457
MA PATRICIA ROSALES HERNANDEZ,INSTANCELEVEL,-1,Instance 2,MA PATRICIA ROSALES HERNANDEZ - Instance 2,3272,443,7426,898,476,976,350,1433,1992
EVERTIS DE MEXICO SA DE CV,INSTANCELEVEL,-1,Instance 2,EVERTIS DE MEXICO SA DE CV - Instance 2,3747,6341,398,11146,730,1075,148,1164,2358
GENERAL DE CERAMICA S A DE C V,INSTANCELEVEL,-1,Instance 2,GENERAL DE CERAMICA S A DE C V - Instance 2,10507,1264,11375,5489,643,1100,236,1348,1503
GRUPO VACTREK SA DE CV,INSTANCELEVEL,-1,Instance 2,GRUPO VACTREK SA DE CV - Instance 2,6299,5763,2015,5253,748,635,470,1147,1810
JUAN ANGEL FLORES AGUIRRE,INSTANCELEVEL,-1,Instance 2,JUAN ANGEL FLORES AGUIRRE - Instance 2,1142,2392,4513,6695,720,819,253,1024,2208
Triumph Tool NC Inc,INSTANCELEVEL,-1,Instance 2,Triumph Tool NC Inc - Instance 2,6737,8978,4291,10622,579,645,367,1950,2368
Darta NV,INSTANCELEVEL,-1,Instance 2,Darta NV - Instance 2,2458,3526,9927,4296,573,1083,67,1624,2428
COTY UK LTD,INSTANCELEVEL,-1,Instance 2,COTY UK LTD - Instance 2,8856,7812,10250,1742,356,764,381,1782,2459
Deal Partners Limited,INSTANCELEVEL,-1,Instance 2,Deal Partners Limited - Instance 2,10367,8328,8306,5294,518,756,160,1497,1772
IRISA ADHESIVES CORPORATION SA DE CV,INSTANCELEVEL,-1,Instance 2,IRISA ADHESIVES CORPORATION SA DE CV - Instance 2,2037,5769,1449,7530,631,1029,147,1444,2011
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-1,Instance 2,BOESDORFER & BOESDORFER INC - Instance 2,5097,6374,531,9267,458,787,80,1419,2070
GKN Sinter Metals,INSTANCELEVEL,-1,Instance 2,GKN Sinter Metals - Instance 2,1694,11662,4505,303,748,801,150,1934,2182
AGENCE PRESSE,INSTANCELEVEL,-1,Instance 2,AGENCE PRESSE - Instance 2,10364,5443,8708,4173,387,604,474,1792,2171
Vesco Foods Pty Ltd,INSTANCELEVEL,-1,Instance 2,Vesco Foods Pty Ltd - Instance 2,8643,777,8593,4938,588,949,255,1193,1944
AUREA SOFTWARE INC,INSTANCELEVEL,-1,Instance 2,AUREA SOFTWARE INC - Instance 2,3082,10166,10050,2766,588,973,48,1231,1710
Ocean Sports Wear,INSTANCELEVEL,-1,Instance 2,Ocean Sports Wear - Instance 2,2060,7639,6756,6573,789,988,424,1953,2341
NOVA INSTRUMENTS SERVICE SA DE CV,INSTANCELEVEL,-1,Instance 2,NOVA INSTRUMENTS SERVICE SA DE CV - Instance 2,8183,7723,6167,9235,762,833,498,1946,1721
RAUL MORALES RAMIREZ,INSTANCELEVEL,-1,Instance 2,RAUL MORALES RAMIREZ - Instance 2,10028,8578,9818,1075,554,1096,281,1284,1611
STANLEY BOSTITCH SA DE CV,INSTANCELEVEL,-1,Instance 2,STANLEY BOSTITCH SA DE CV - Instance 2,6883,9908,9488,1721,559,712,330,1322,2482
UNIFOODS SA DE CV,INSTANCELEVEL,-1,Instance 2,UNIFOODS SA DE CV - Instance 2,5694,787,2087,3001,522,840,276,1294,2065
TOMAS MARTINEZ PATLAN,INSTANCELEVEL,-1,Instance 2,TOMAS MARTINEZ PATLAN - Instance 2,4620,9296,6887,4548,428,762,314,1569,1772
JARDINS DE NORTENE,INSTANCELEVEL,-1,Instance 2,JARDINS DE NORTENE - Instance 2,2568,6917,3397,4673,381,977,163,1845,1820
Terry Store age spa,INSTANCELEVEL,-1,Instance 2,Terry Store age spa - Instance 2,7123,2131,1803,1200,445,911,298,1481,1895
Goldie Marketing Pty Ltd,INSTANCELEVEL,-1,Instance 2,Goldie Marketing Pty Ltd - Instance 2,5465,5849,1563,9187,404,911,278,1077,2255
ST. CLAIR SERVICE,INSTANCELEVEL,-1,Instance 2,ST. CLAIR SERVICE - Instance 2,1739,6780,1145,8843,388,777,186,1390,1628
Scottish Shellfish Marketing Group Ltd,INSTANCELEVEL,-1,Instance 2,Scottish Shellfish Marketing Group Ltd - Instance 2,904,222,9743,10870,498,740,251,1629,1727
CARNES KM SA DE CV,INSTANCELEVEL,-1,Instance 2,CARNES KM SA DE CV - Instance 2,6184,4778,7553,9552,518,1070,51,1202,1687
COMERCIALIZADORA UNICOR SA DE CV,INSTANCELEVEL,-1,Instance 2,COMERCIALIZADORA UNICOR SA DE CV - Instance 2,9966,2451,9208,5821,413,953,239,1495,2123
COMNET SA DE CV,INSTANCELEVEL,-1,Instance 2,COMNET SA DE CV - Instance 2,8257,6631,8805,7301,618,1089,213,1770,1889
DISTRIB Y COMERC KOWALSKY SA DE CV,INSTANCELEVEL,-1,Instance 2,DISTRIB Y COMERC KOWALSKY SA DE CV - Instance 2,7346,5477,1759,1897,390,849,194,1552,2262
FRUITCORP SA DE CV,INSTANCELEVEL,-1,Instance 2,FRUITCORP SA DE CV - Instance 2,11546,10150,4431,6611,389,1078,431,1411,1610
ORIGINALES THELVA SA DE CV,INSTANCELEVEL,-1,Instance 2,ORIGINALES THELVA SA DE CV - Instance 2,5491,3775,8802,1944,391,910,259,1444,1807
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,INSTANCELEVEL,-1,Instance 2,SISTEMAS MECANICOS E HIDRAULICOS SA DE CV - Instance 2,4743,2,7087,8007,396,833,41,1369,2094
COMERCIALIZADORA RIMATOM SA de CV,INSTANCELEVEL,-1,Instance 2,COMERCIALIZADORA RIMATOM SA de CV - Instance 2,10672,6054,5764,9378,721,790,75,1420,1987
K & S Contractors Supply Co,INSTANCELEVEL,-1,Instance 2,K & S Contractors Supply Co - Instance 2,7835,10410,3220,8451,505,982,344,1056,2049
Tioga Hardwoods Inc,INSTANCELEVEL,-1,Instance 2,Tioga Hardwoods Inc - Instance 2,813,5038,2200,9571,573,1070,307,1598,1997
GHCL Limited,INSTANCELEVEL,-1,Instance 2,GHCL Limited - Instance 2,830,8838,5528,3601,340,991,330,1270,1574
Motion Industries Inc.,INSTANCELEVEL,-1,Instance 2,Motion Industries Inc. - Instance 2,9900,3423,4443,1472,342,815,184,1241,2192
SUKETU ORGANICS PRIVATE LIMITED,INSTANCELEVEL,-1,Instance 2,SUKETU ORGANICS PRIVATE LIMITED - Instance 2,9481,10191,962,154,773,905,480,1105,2071
Quantum Foods,INSTANCELEVEL,-1,Instance 2,Quantum Foods - Instance 2,6811,3982,5368,5390,606,967,124,1307,2045
Family Magazine,INSTANCELEVEL,-1,Instance 2,Family Magazine - Instance 2,6903,8793,5840,3290,391,802,13,1387,2500
PROGRESSIVE AG PARTNERS,INSTANCELEVEL,-1,Instance 2,PROGRESSIVE AG PARTNERS - Instance 2,3071,5297,8394,8947,340,616,376,1400,1773
Innovative Laser Inc,INSTANCELEVEL,-1,Instance 2,Innovative Laser Inc - Instance 2,3618,3646,290,9354,559,676,85,1340,2266
Addis Housewares Ltd,INSTANCELEVEL,-1,Instance 2,Addis Housewares Ltd - Instance 2,8405,6508,8610,3826,636,1011,337,1430,1923
SIGMADIS BRIGNAIS,INSTANCELEVEL,-1,Instance 2,SIGMADIS BRIGNAIS - Instance 2,8035,1620,6212,3287,577,671,176,1440,2365
APLNG,INSTANCELEVEL,-1,Instance 2,APLNG - Instance 2,1586,1067,7010,2113,363,715,472,1958,1883
Quince Hungary Kft,INSTANCELEVEL,-1,Instance 2,Quince Hungary Kft - Instance 2,6662,8583,11733,524,579,720,332,1287,2046
