Account.Data_ExternalId__c,Contact_ExternalID__c,LeadSource,FirstName,LastName,Title,Email,NumberField__c,Birthdate,NoOfReferrals__c,NumForDate__c,InvolvedIn__c,DealCloseRate__c,Active__c
Survey Rule Account 3,Survey Rule Account 3Hitesh,Purchased List,Survey Rule Account 3,Hitesh,Junior Engineer,hsharma@gainsight.com,354,2013-10-11,4,-30,Budget,99,FALSE
Survey Rule Account 3,Survey Rule Account 3Jagadeesh,Other,Survey Rule Account 3,Jagadeesh,Team Lead,jsiripurapu@gainsight.com,567,2013-07-15,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 4,Survey Rule Account 4Jaya Prakash,Web,Survey Rule Account 4,Jaya Prakash,Engineer,jvunnam@gainsight.com,345,2014-05-02,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 4,Survey Rule Account 4Kiran Kumar,Phone Inquiry,Survey Rule Account 4,Kiran Kumar,Junior Engineer,kgubbala@gainsight.com,2345,2013-04-01,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 4,Survey Rule Account 4Krishna Sekhar,Partner Referral,Survey Rule Account 4,Krishna Sekhar,Senior Engineer,ksarangam@gainsight.com,235,2014-03-21,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 4,Survey Rule Account 4Murali Krishna,Purchased List,Survey Rule Account 4,Murali Krishna,Associate Engineer,murali@gainsight.com,4,2009-01-06,4,-30,Budget,70,TRUE
Survey Rule Account 4,Survey Rule Account 4Murthy,Other,Survey Rule Account 4,Murthy,Manager,mkavali@gainsight.com,2,2013-10-30,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 5,Survey Rule Account 5Narayanan,Web,Survey Rule Account 5,Narayanan,Senior Manager,snarayanan@gainsight.com,2,2013-12-04,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 5,Survey Rule Account 5Nitin,Phone Inquiry,Survey Rule Account 5,Nitin,CEO,npawar@gainsight.com,2345,2013-05-27,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 5,Survey Rule Account 5Pawan,Partner Referral,Survey Rule Account 5,Pawan,CFO,pVajipeyajula@gainsight.com,234,2014-03-11,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 5,Survey Rule Account 5Pawel,Purchased List,Survey Rule Account 5,Pawel,CMO,pdalal@gainsight.com,52,2014-02-27,4,-30,Budget,99,FALSE
Survey Rule Account 5,Survey Rule Account 5Periasami,Other,Survey Rule Account 5,Periasami,CSM,pparthiban@gainsight.com,345,2014-03-24,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 6,Survey Rule Account 6Pradeep,Web,Survey Rule Account 6,Pradeep,Marketing Manager,psaraswathi@gainsight.com,256,2014-03-03,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 6,Survey Rule Account 6Pradip Biswas,Phone Inquiry,Survey Rule Account 6,Pradip Biswas,Sales Manager,pbiswas@gainsight.com,6,2013-11-11,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 6,Survey Rule Account 6Prashanthi,Partner Referral,Survey Rule Account 6,Prashanthi,Decision Maker,pmendu@gainsight.com,85,2013-08-01,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 6,Survey Rule Account 6Prathap,Purchased List,Survey Rule Account 6,Prathap,Budget Manger,svaprathap@gainsight.com,35,2013-07-10,4,-30,Budget,70,TRUE
Survey Rule Account 6,Survey Rule Account 6Pulimi,Other,Survey Rule Account 6,Pulimi,Team Lead,apulimi@gainsight.com,345,2013-12-01,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 7 ,Survey Rule Account 7 Raja,Web,Survey Rule Account 7 ,Raja,Engineer,rkuditipudi@gainsight.com,62,2014-03-12,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 7 ,Survey Rule Account 7 Rajesh,Phone Inquiry,Survey Rule Account 7 ,Rajesh,Junior Engineer,ryaddanapalli@gainsight.com,47,2012-04-16,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 7 ,Survey Rule Account 7 Ramesh,Partner Referral,Survey Rule Account 7 ,Ramesh,Senior Engineer,rbankuru@gainsight.com,678,2013-10-07,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 7 ,Survey Rule Account 7 Ranjith Kumar,Purchased List,Survey Rule Account 7 ,Ranjith Kumar,Associate Engineer,rkumar@gainsight.com,345,2013-07-19,4,-30,Budget,99,FALSE
Survey Rule Account 7 ,Survey Rule Account 7 Renetha,Other,Survey Rule Account 7 ,Renetha,Manager,rravela@gainsight.com,234,2013-10-28,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 8,Survey Rule Account 8Sai Karthik,Web,Survey Rule Account 8,Sai Karthik,Senior Manager,sganguru@gainsight.com,34,2013-04-11,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 8,Survey Rule Account 8Sai ram,Phone Inquiry,Survey Rule Account 8,Sai ram,CEO,spulluri@gainsight.com,746584,2013-04-15,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 8,Survey Rule Account 8Sandeep,Partner Referral,Survey Rule Account 8,Sandeep,CFO,sdugar@gainsight.com,56,2014-05-05,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 8,Survey Rule Account 8Sandhya,Purchased List,Survey Rule Account 8,Sandhya,CMO,sagarwal@gainsight.com,345745,2013-12-09,4,-30,Budget,70,TRUE
Survey Rule Account 8,Survey Rule Account 8Sandy,Other,Survey Rule Account 8,Sandy,CSM,sandy@gainsight.com,84564637,2013-04-27,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 9,Survey Rule Account 9Santa,Web,Survey Rule Account 9,Santa,Marketing Manager,sthounajam@gainsight.com,658,2013-11-04,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 9,Survey Rule Account 9Santosh,Phone Inquiry,Survey Rule Account 9,Santosh,Sales Manager,schikoti@gainsight.com,325,2013-11-06,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 9,Survey Rule Account 9Siddhartha,Partner Referral,Survey Rule Account 9,Siddhartha,Decision Maker,sidhu@gainsight.com,2345,2009-08-24,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 9,Survey Rule Account 9Siva Prasad,Purchased List,Survey Rule Account 9,Siva Prasad,Budget Manger,snasika@gainsight.com,24,2013-10-28,4,-30,Budget,99,FALSE
Survey Rule Account 9,Survey Rule Account 9Sneha,Other,Survey Rule Account 9,Sneha,Team Lead,sjha@gainsight.com,52,2014-05-02,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 10,Survey Rule Account 10Somasekhar,Web,Survey Rule Account 10,Somasekhar,Engineer,sbobba@gainsight.com,45,2013-05-21,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 10,Survey Rule Account 10Sreedhar,Phone Inquiry,Survey Rule Account 10,Sreedhar,Junior Engineer,speddineni@gainsight.com,24523,2011-02-01,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 10,Survey Rule Account 10Sri Vidya,Partner Referral,Survey Rule Account 10,Sri Vidya,Senior Engineer,srallapalli@gainsight.com,452,2013-10-29,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 10,Survey Rule Account 10Srinivas,Purchased List,Survey Rule Account 10,Srinivas,Associate Engineer,spulagam@gainsight.com,45,2013-05-20,4,-30,Budget,70,TRUE
Survey Rule Account 10,Survey Rule Account 10Sunand,Other,Survey Rule Account 10,Sunand,Manager,spadmanabhan@gainsight.com,34532,2013-06-21,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 11,Survey Rule Account 11Swatantra Agrawal,Web,Survey Rule Account 11,Swatantra Agrawal,Senior Manager,sagrawal@gainsight.com,2,2013-11-12,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 11,Survey Rule Account 11Swetha,Phone Inquiry,Survey Rule Account 11,Swetha,CEO,sparava@gainsight.com,3452,2014-04-04,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 11,Survey Rule Account 11Ugesh,Partner Referral,Survey Rule Account 11,Ugesh,CFO,ugesh@gainsight.com,345,2009-01-01,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 11,Survey Rule Account 11Veeranjaneya,Purchased List,Survey Rule Account 11,Veeranjaneya,CMO,rthummalapalli@gainsight.com,2456345,2013-12-09,4,-30,Budget,99,FALSE
Survey Rule Account 11,Survey Rule Account 11Vellaichamy,Other,Survey Rule Account 11,Vellaichamy,CSM,svellaichamy@gainsight.com,354,2012-11-14,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 12,Survey Rule Account 12Allison,Web,Survey Rule Account 12,Allison,Marketing Manager,Allison1@gainsight.com,567,2013-01-20,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 12,Survey Rule Account 12Anthony,Phone Inquiry,Survey Rule Account 12,Anthony,Sales Manager,Anthony1@gainsight.com,345,2013-03-11,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 12,Survey Rule Account 12Bijal,Partner Referral,Survey Rule Account 12,Bijal,Decision Maker,Bijal1@gainsight.com,2345,2014-05-27,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 12,Survey Rule Account 12Bill,Purchased List,Survey Rule Account 12,Bill,Budget Manger,Bill1@gainsight.com,235,2014-07-28,4,-30,Budget,70,FALSE
Survey Rule Account 12,Survey Rule Account 12Bryan,Other,Survey Rule Account 12,Bryan,Team Lead,Bryan1@gainsight.com,4,2013-11-11,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 13,Survey Rule Account 13Chris,Web,Survey Rule Account 13,Chris,Engineer,Chris1@gainsight.com,2,2014-02-10,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 13,Survey Rule Account 13Dan1,Phone Inquiry,Survey Rule Account 13,Dan1,Junior Engineer,Dan1@gainsight.com,2,2012-06-04,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 13,Survey Rule Account 13Dan2,Partner Referral,Survey Rule Account 13,Dan2,Senior Engineer,Dan2@gainsight.com,2345,2014-03-17,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 13,Survey Rule Account 13Denise,Purchased List,Survey Rule Account 13,Denise,Associate Engineer,Denise1@gainsight.com,234,2013-10-11,4,-30,Budget,99,TRUE
Survey Rule Account 13,Survey Rule Account 13Denyce,Other,Survey Rule Account 13,Denyce,Manager,Denyce1@gainsight.com,52,2013-12-03,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 14,Survey Rule Account 14Elaine,Web,Survey Rule Account 14,Elaine,Senior Manager,Elaine1@gainsight.com,345,2013-10-02,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 14,Survey Rule Account 14Irit,Phone Inquiry,Survey Rule Account 14,Irit,CEO,Irit1@gainsight.com,256,2013-03-11,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 14,Survey Rule Account 14Jack,Partner Referral,Survey Rule Account 14,Jack,CFO,Jack1@gainsight.com,6,2014-06-09,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 14,Survey Rule Account 14Joe,Purchased List,Survey Rule Account 14,Joe,CMO,Joe1@gainsight.com,85,2013-12-09,4,-30,Budget,70,FALSE
Survey Rule Account 14,Survey Rule Account 14Joffer,Other,Survey Rule Account 14,Joffer,CSM,Joffer1@gainsight.com,35,2013-07-01,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 15,Survey Rule Account 15Julia,Web,Survey Rule Account 15,Julia,Marketing Manager,Julia1@gainsight.com,345,2014-04-21,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 15,Survey Rule Account 15Karen,Phone Inquiry,Survey Rule Account 15,Karen,Sales Manager,Karen1@gainsight.com,62,2013-04-01,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 15,Survey Rule Account 15Kelly,Partner Referral,Survey Rule Account 15,Kelly,Decision Maker,Kelly1@gainsight.com,47,2013-01-20,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 15,Survey Rule Account 15Kevin,Purchased List,Survey Rule Account 15,Kevin,Budget Manger,Kevin1@gainsight.com,678,2014-07-14,4,-30,Budget,99,TRUE
Survey Rule Account 15,Survey Rule Account 15Kris,Other,Survey Rule Account 15,Kris,Team Lead,Kris1@gainsight.com,345,2013-02-25,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 16,Survey Rule Account 16Lauren,Web,Survey Rule Account 16,Lauren,Engineer,Lauren1@gainsight.com,234,2013-03-25,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 16,Survey Rule Account 16Lincoln,Phone Inquiry,Survey Rule Account 16,Lincoln,Junior Engineer,Lincoln1@gainsight.com,34,2014-04-21,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 16,Survey Rule Account 16Manu,Partner Referral,Survey Rule Account 16,Manu,Senior Engineer,Manu1@gainsight.com,746584,2012-06-06,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 16,Survey Rule Account 16Meenal,Purchased List,Survey Rule Account 16,Meenal,Associate Engineer,Meenal1@gainsight.com,56,2013-10-11,4,-30,Budget,70,FALSE
Survey Rule Account 16,Survey Rule Account 16Mike,Other,Survey Rule Account 16,Mike,Manager,Mike1@gainsight.com,345745,2013-11-04,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 17,Survey Rule Account 17Mike,Web,Survey Rule Account 17,Mike,Senior Manager,Mike1@gainsight.com,84564637,2014-04-21,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 17,Survey Rule Account 17Milad,Phone Inquiry,Survey Rule Account 17,Milad,CEO,Milad1@gainsight.com,658,2013-05-29,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 17,Survey Rule Account 17Nick,Partner Referral,Survey Rule Account 17,Nick,CFO,Nick1@gainsight.com,325,2013-02-04,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 17,Survey Rule Account 17Paul,Purchased List,Survey Rule Account 17,Paul,CMO,Paul1@gainsight.com,2345,2013-03-27,4,-30,Budget,99,TRUE
Survey Rule Account 17,Survey Rule Account 17Puja,Other,Survey Rule Account 17,Puja,CSM,Puja1@gainsight.com,24,2013-01-20,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 18,Survey Rule Account 18Ross,Web,Survey Rule Account 18,Ross,Marketing Manager,Ross1@gainsight.com,52,2013-12-09,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 18,Survey Rule Account 18Ryan,Phone Inquiry,Survey Rule Account 18,Ryan,Sales Manager,Ryan1@gainsight.com,45,2013-08-19,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 18,Survey Rule Account 18Sam,Partner Referral,Survey Rule Account 18,Sam,Decision Maker,Sam1@gainsight.com,24523,2013-01-20,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 18,Survey Rule Account 18Samantha,Purchased List,Survey Rule Account 18,Samantha,Budget Manger,Samantha1@gainsight.com,452,2013-08-05,4,-30,Budget,70,FALSE
Survey Rule Account 18,Survey Rule Account 18Sanoam,Other,Survey Rule Account 18,Sanoam,Team Lead,Sanoam1@gainsight.com,45,2014-08-04,10,40,Forecast;Budget;Marketing,80,TRUE
Survey Rule Account 19,Survey Rule Account 19Scott,Web,Survey Rule Account 19,Scott,Engineer,Scott1@gainsight.com,34532,2014-02-03,1,1,Marketing ; Sales,10,FALSE
Survey Rule Account 19,Survey Rule Account 19Seokho,Phone Inquiry,Survey Rule Account 19,Seokho,Junior Engineer,Seokho1@gainsight.com,2,2014-04-22,3,20,Sales;Forecast,20,TRUE
Survey Rule Account 19,Survey Rule Account 19Serra,Partner Referral,Survey Rule Account 19,Serra,Senior Engineer,Serra1@gainsight.com,3452,2013-11-11,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 19,Survey Rule Account 19Seth,Purchased List,Survey Rule Account 19,Seth,Associate Engineer,Seth1@gainsight.com,345,2014-01-13,4,-30,Budget,99,TRUE
Survey Rule Account 19,Survey Rule Account 19Sheila,Other,Survey Rule Account 19,Sheila,Manager,Sheila1@gainsight.com,2456345,2013-12-09,10,40,Forecast;Budget;Marketing,100,FALSE
Survey Rule Account 20,Survey Rule Account 20Sherif,Web,Survey Rule Account 20,Sherif,Senior Manager,Sherif1@gainsight.com,354,2013-01-20,1,1,Marketing ; Sales,55,TRUE
Survey Rule Account 20,Survey Rule Account 20Sid,Phone Inquiry,Survey Rule Account 20,Sid,CEO,Sid1@gainsight.com,567,2013-08-19,3,20,Sales;Forecast,45,FALSE
Survey Rule Account 20,Survey Rule Account 20Steve1,Partner Referral,Survey Rule Account 20,Steve1,CFO,Steve1@gainsight.com,345,2013-03-11,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 20,Survey Rule Account 20Steve2,Purchased List,Survey Rule Account 20,Steve2,CMO,Steve1@gainsight.com,2345,2014-08-04,4,-30,Budget,70,FALSE
Survey Rule Account 20,Survey Rule Account 20Taylor,Other,Survey Rule Account 20,Taylor,CSM,Taylor1@gainsight.com,235,2013-08-19,10,40,Forecast;Budget;Marketing,80,TRUE
