d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
Abberley Kooiman	Prospect	1301 Hoch Drive	MERIDA	MX-YU	97000	MX	DHE010828K6A	MERIDA	MX-YU	97000	MX	ESN100709KC6	www.EQUIPOS Y SERVICIOS PARA NEGOCIOS SA DE CV.com	Utilities	Subsidiary	23	Cold	Commerical logistics and transportation company.						
Abbett Electric Corp	Channel Partner / Reseller	2 Place Jussieu	MERIDA	MX-YU	97249	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MERIDA	MX-YU	97249	MX	CAVL660905S69	www.LORENA BEATRIZ CASTILLO VAZQUEZ.com	Agriculture	Public	2680	Hot	World's third largest oil and gas company.						
Abbey Press Inc	Installation Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	MERIDA	MX-YU	97259	MX	DHE010828K6A	MERIDA	MX-YU	97259	MX	BAPR611202KM1	www.ROSA MAGALLY BASTERIS PEREZ.com	Environmental	Private	35234	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ABC ALIMENTOS BOTANAS Y CEREALES SAPI DE CV	Customer - Direct	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	IRUAPUATO	MX-GJ	36580	MX	2 Place Jussieu	IRUAPUATO	MX-GJ	36580	MX	AAB1208304C1	www.ABC ALIMENTOS BOTANAS Y CEREALES SAPI DE CV.com	Insurance	Other	234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ABICO DIGITAL IMAGING INC	Customer - Channel	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Taipei	TW-TP	11491	TW	CES081007NE0	Taipei	TW-TP	11491	TW	27918166	www.ABICO DIGITAL IMAGING INC.com	Agriculture	Public	2680	Hot	World's third largest oil and gas company.						
ABOYTES AGUILAR GABRIEL	Channel Partner / Reseller	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	33022	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	33022	MX	AOAG840122QZ9	www.ABOYTES AGUILAR GABRIEL.com	Environmental	Private	2342	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ABRAHAM GAXIOLA LAZCANO	Installation Partner	The Landmark @ One Market	PUEBLA	MX-PU	72000	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	PUEBLA	MX-PU	72000	MX	GALA8201267L8	www.ABRAHAM GAXIOLA LAZCANO.com	Media	Subsidiary	45	Hot	Commerical logistics and transportation company.						
ACERO APLICADO EN TRANSMISION Y DIS TRIBUCION SA	Technology Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	SALINAS VICTORIA	MX-NL	0	MX	Test acc 2157	SALINAS VICTORIA	MX-NL	0	MX	AAT081014H87	www.ACERO APLICADO EN TRANSMISION Y DIS TRIBUCION SA.com	Communications	Private	12341	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ACEROS Y GALVANIZADOS DE CELAYA SA	Other	1301 Hoch Drive	MEXICO	MX-NL	38090	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	38090	MX	AGC9601159N3	www.ACEROS Y GALVANIZADOS DE CELAYA SA.com	Environmental	Private	234	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ACEROS Y SIMILARES S.A. DE C.V.	Prospect	2 Place Jussieu	MEXICO	MX-NL	97000	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	97000	MX	ASI871201I71	www.ACEROS Y SIMILARES S.A. DE C.V..com	Apparel	Private	145000	Warm	World's third largest oil and gas company.						
ACEVEDO BOLIO JOSE IGNACIO	Customer - Direct	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	97135	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	97135	MX	AEBI751128PD8	www.ACEVEDO BOLIO JOSE IGNACIO.com	Insurance	Other	4	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ACM GLOBAL SERVICES SA DE CV	Customer - Channel	"312 Constitution Place
Austin, TX 78767
USA"	MONTERREY	MX-NL	64660	MX	2 Place Jussieu	MONTERREY	MX-NL	64660	MX	AGS080909K9A	www.ACM GLOBAL SERVICES SA DE CV.com	Energy	Subsidiary	45	Warm	World's third largest oil and gas company.						
ACONDICIONAMIENTOS Y SERVICIOS SA DE CV	Channel Partner / Reseller	"345 Shoreline Park
Mountain View, CA 94043
USA"	SALTILLO	MX-CA	25240	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	SALTILLO	MX-CA	25240	MX	ASE011010AR0	www.ACONDICIONAMIENTOS Y SERVICIOS SA DE CV.com	Communications	Private	12300	Warm	Commerical logistics and transportation company.						
Addis Housewares Ltd	Installation Partner	525 S. Lexington Ave	Bridgend	GB-BGE	CF31 3US	GB	DHE010828K6A	Bridgend	GB-BGE	CF31 3US	GB	673178610	www.Addis Housewares Ltd.com	Education	Public	3000	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ADEGERMEX SA DE CV	Technology Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	53310	MX	CES081007NE0	MEXICO	MX-NL	53310	MX	ADE8703309B6	www.ADEGERMEX SA DE CV.com	Recreation	Public	6	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ADITIVOS Y PREMEZCLAS	Other	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	54730	MX	CES081007NE0	MEXICO	MX-NL	54730	MX	APE8301227X0	www.ADITIVOS Y PREMEZCLAS.com	Engineering	Other	24000	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ADRIAN CEPEDA MONTANTE	Prospect	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TAMPICO	MX-TM	89357	MX	Test acc 2157	TAMPICO	MX-TM	89357	MX	CEMA6703053G3	www.ADRIAN CEPEDA MONTANTE.com	Finance	Subsidiary	1234123	Warm	World's third largest oil and gas company.						
ADRIANA ZAVALA RAMOS	Customer - Direct	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	SALTILLO	MX-CA	25019	MX	DHE010828K6A	SALTILLO	MX-CA	25019	MX	ZARA710510R37	www.ADRIANA ZAVALA RAMOS.com	Environmental	Private	2342	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
Aerotek Inc	Customer - Channel	The Landmark @ One Market	Chicago	IL	60693	US	CES081007NE0	Chicago	IL	60693	US	52-1304931	www.Aerotek Inc.com	Construction	Subsidiary	1000	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
AGENCE PRESSE	Channel Partner / Reseller	"1301 Avenue of the Americas 
New York, NY 10019
USA"	AUCHEL	FR-62	62260	FR	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	AUCHEL	FR-62	62260	FR	65412400400	www.AGENCE PRESSE.com	Technology	Other	675	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
AGENCIA SPHARTA SA DE CV	Installation Partner	1301 Hoch Drive	MEXICO	MX-NL	3530	MX	1301 Hoch Drive	MEXICO	MX-NL	3530	MX	ASP041029Q66	www.AGENCIA SPHARTA SA DE CV.com	Transportation	Private	456745	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
AGMOTION SA DE CV	Technology Partner	2 Place Jussieu	MEXICO	MX-NL	36670	MX	Test acc 2157	MEXICO	MX-NL	36670	MX	AGM0008319M9	www.AGMOTION SA DE CV.com	Entertainment	Public	45	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
AGP GRAIN MARKETING LLC	Other	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	OMAHA	NE	68154	US	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	OMAHA	NE	68154	US	71-0970028	www.AGP GRAIN MARKETING LLC.com	Telecommunications	Public	456745	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
AGRICULTURA DINAMICA INTEGRAL SA DE	Prospect	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	38080	MX	2 Place Jussieu	MEXICO	MX-NL	38080	MX	ADI881129HFA	www.AGRICULTURA DINAMICA INTEGRAL SA DE.com	Media	Subsidiary		Cold	World's third largest oil and gas company.						
AGROINSUMOS DISAGRO SA DE CV	Customer - Direct	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	72810	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	72810	MX	ADI0909242FA	www.AGROINSUMOS DISAGRO SA DE CV.com	Not For Profit	Other	34	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
AGROMIELES DE VERACRUZ S DE RL DE C	Customer - Channel	525 S. Lexington Ave	MEXICO	MX-NL	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	0	MX	AVE060721EH3	www.AGROMIELES DE VERACRUZ S DE RL DE C.com	Media	Subsidiary	64356	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
AGROPECUARIA  A.D.L.T. S.A. DE C.V.	Channel Partner / Reseller	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	0	MX	ADL9711247B4	www.AGROPECUARIA  A.D.L.T. S.A. DE C.V..com	Manufacturing	Private	856	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
AGROSERVICIOS EL JARRON AZUL SPR DE	Installation Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	38400	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	38400	MX	AJA0408246K4	www.AGROSERVICIOS EL JARRON AZUL SPR DE.com	Utilities	Subsidiary	234	Hot	World's third largest oil and gas company.						
AGUA CLARA DEL VERGEL SA DE CV	Technology Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TORREON	MX-CA	27010	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	TORREON	MX-CA	27010	MX	ACV0608249M8	www.AGUA CLARA DEL VERGEL SA DE CV.com	Retail	Private	34	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
AGUA Y HIELO PUERTO MEXICO S.A. DE	Other	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	96570	MX	Test acc 2157	MEXICO	MX-NL	96570	MX	AHP8911118R4	www.AGUA Y HIELO PUERTO MEXICO S.A. DE.com	Consulting	Other	1	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
Air Liquide America LP	Prospect	The Landmark @ One Market	Dallas	TX	75243	US	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Dallas	TX	75243	US	58-0939059	www.Air Liquide America LP.com	Other	Other	2345	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
AIRECO S.A DE C.V	Customer - Direct	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	54050	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	54050	MX	AIR8102137H0	www.AIRECO S.A DE C.V.com	Agriculture	Public	23	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
AISLOPUERTAS SA DE CV	Customer - Channel	1301 Hoch Drive	MEXICO	MX-NL	66620	MX	DHE010828K6A	MEXICO	MX-NL	66620	MX	AIS070320GY7	www.AISLOPUERTAS SA DE CV.com	Other	Other	52345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
Akzenta Vertriebs GmbH	Channel Partner / Reseller	2 Place Jussieu	Kaisersesch	DE-RP	56759	DE	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Kaisersesch	DE-RP	56759	DE	813708448	www.Akzenta Vertriebs GmbH.com	Apparel	Private	145000	Warm	World's third largest oil and gas company.						
Akzo Nobel Coatings Inc.	Installation Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	High Point	NC	27261	US	"345 Shoreline Park
Mountain View, CA 94043
USA"	High Point	NC	27261	US	232127291	www.Akzo Nobel Coatings Inc..com	Banking	Subsidiary	23412341	Hot	World's third largest oil and gas company.						
ALATORRE PEREZ SAMUEL	Technology Partner	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	83296	MX	DHE010828K6A	MEXICO	MX-NL	83296	MX	AAPS730626KF5	www.ALATORRE PEREZ SAMUEL.com	Electronics	Private	345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ALATORRE ZALDIVAR LIBRADO EDUARDO	Other	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	25280	MX	DHE010828K6A	MEXICO	MX-NL	25280	MX	AAZL660410DQ9	www.ALATORRE ZALDIVAR LIBRADO EDUARDO.com	Biotechnology	Other	23412	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ALBERTO BOJORQUEZ MONTOYA	Prospect	525 S. Lexington Ave	TIJUANA	MX-BN	22210	MX	Test acc 2157	TIJUANA	MX-BN	22210	MX	BOMA7401177M6	www.ALBERTO BOJORQUEZ MONTOYA.com	Not For Profit	Other	34	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
Albonair GmbH	Customer - Direct	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Dortmund	DE-NW	44263	DE	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Dortmund	DE-NW	44263	DE	44263	www.Albonair GmbH.com	Healthcare	Private	23	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ALCAMPO DEL BAJIO S.A. DE C.V.	Customer - Channel	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	76099	MX	DHE010828K6A	MEXICO	MX-NL	76099	MX	CBA860620E10	www.ALCAMPO DEL BAJIO S.A. DE C.V..com	Construction	Subsidiary	1000	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
Alcatel-Lucent Nederland BV	Channel Partner / Reseller	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	HOOFDDORP	NL-NH	2132JE	NL	"345 Shoreline Park
Mountain View, CA 94043
USA"	HOOFDDORP	NL-NH	2132JE	NL	6652876	www.Alcatel-Lucent Nederland BV.com	Consulting	Other	1	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ALCOHOLES Y MELAZAS DE MEXICO SA DE	Installation Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	6700	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	6700	MX	AMM0703276B6	www.ALCOHOLES Y MELAZAS DE MEXICO SA DE.com	Manufacturing	Private	23	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ALDAMA RENERO ROMELL WALTER	Technology Partner	The Landmark @ One Market	MEXICO	MX-NL	0	MX	DHE010828K6A	MEXICO	MX-NL	0	MX	AARR7811047AA	www.ALDAMA RENERO ROMELL WALTER.com	Consulting	Other	45	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALDO HERRAMIENTAS PARA CORTE Y TREFILADO SA DE C	Other	"1301 Avenue of the Americas 
New York, NY 10019
USA"	x	MX-NL	0	MX	DHE010828K6A	x	MX-NL	0	MX	AHC890420215	www.ALDO HERRAMIENTAS PARA CORTE Y TREFILADO SA DE C.com	Electronics	Private	23	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALI MENDIOLA CARLOS NAIM	Prospect	1301 Hoch Drive	MEXICO	MX-NL	0	MX	CES081007NE0	MEXICO	MX-NL	0	MX	AIMC650802CJ3	www.ALI MENDIOLA CARLOS NAIM.com	Banking	Subsidiary	23	Warm	Commerical logistics and transportation company.						
ALIMENTOS APH S DE RL DE MI	Customer - Direct	2 Place Jussieu	MEXICO	MX-NL	66636	MX	2 Place Jussieu	MEXICO	MX-NL	66636	MX	AAP0804231EA	www.ALIMENTOS APH S DE RL DE MI.com	Energy	Subsidiary	1234	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ALIMENTOS BALANCEADOS PENJAMO SA DE	Customer - Channel	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	0	MX	ABP770331H85	www.ALIMENTOS BALANCEADOS PENJAMO SA DE.com	Apparel	Private	1234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALIMENTOS CALIDAD OPTIMA SA DE CV	Channel Partner / Reseller	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	0	MX	ACO9706027K7	www.ALIMENTOS CALIDAD OPTIMA SA DE CV.com	Technology	Other	675	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALIMENTOS RAY SA DE CV	Installation Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	9040	MX	2 Place Jussieu	MEXICO	MX-NL	9040	MX	ARA900314UE4	www.ALIMENTOS RAY SA DE CV.com	Chemicals	Public	2342	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ALIMENTOS SBF DE MEXICO S DE RL DE CV	Technology Partner	525 S. Lexington Ave	REYNOSA	MX-TM	88788	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	REYNOSA	MX-TM	88788	MX	ASM0809179R1	www.ALIMENTOS SBF DE MEXICO S DE RL DE CV.com	Utilities	Subsidiary	23	Cold	Commerical logistics and transportation company.						
ALINSUMOS SA DE CV	Other	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	85065	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	85065	MX	ALI960227A43	www.ALINSUMOS SA DE CV.com	Technology	Other	45	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
All Lines Technology	Prospect	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Warren	PA	15086	US	"345 Shoreline Park
Mountain View, CA 94043
USA"	Warren	PA	15086	US	251204839	www.All Lines Technology.com	Agriculture	Public	12341	Warm	Commerical logistics and transportation company.						
Allen & Overy	Customer - Direct	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Sydney	AU-NS	2000	AU	DHE010828K6A	Sydney	AU-NS	2000	AU	21630141428	www.Allen & Overy.com	Entertainment	Public	52	Cold	Commerical logistics and transportation company.						
AllergyZone LLC	Customer - Channel	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Louisville	KY	40223	US	CES081007NE0	Louisville	KY	40223	US	30475350	www.AllergyZone LLC.com	Communications	Private	12300	Warm	Commerical logistics and transportation company.						
Alltech Automotive LLC	Channel Partner / Reseller	The Landmark @ One Market	Algonquin	IL	60102	US	2 Place Jussieu	Algonquin	IL	60102	US	27-2878929	www.Alltech Automotive LLC.com	Telecommunications	Public	8	Warm	World's third largest oil and gas company.						
ALMA JAYET BENCOMO LARA	Installation Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	97240	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	97240	MX	BELA470527MV3	www.ALMA JAYET BENCOMO LARA.com	Banking	Subsidiary	23412341	Hot	World's third largest oil and gas company.						
ALMACEN DE GRANOS DE LA PENINSULA S	Technology Partner	1301 Hoch Drive	MEXICO	MX-NL	97288	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	97288	MX	AGP060912NJ6	www.ALMACEN DE GRANOS DE LA PENINSULA S.com	Engineering	Other	23	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ALMACENES REFRIGERADOS CONSOLIDADOS	Other	2 Place Jussieu	MEXICO	MX-NL	54600	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	54600	MX	ARC010112AX1	www.ALMACENES REFRIGERADOS CONSOLIDADOS.com	Biotechnology	Other	9000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
